id,Resource Acquisition:Substrate uptake:aromatic acid transport,Resource Acquisition:Substrate uptake:biopolymer transport,Resource Acquisition:Substrate uptake:carbohydrate transport,Resource Acquisition:Substrate uptake:carboxylate transport,Resource Acquisition:Substrate uptake:free amino acids transport,Resource Acquisition:Substrate uptake:ion transport,Resource Acquisition:Substrate uptake:lipid transport,Resource Acquisition:Substrate uptake:N compound transport,Resource Acquisition:Substrate uptake:nucleic acid component transport,Resource Acquisition:Substrate uptake:organophosphorus transport,Resource Acquisition:Substrate uptake:osmolyte transport,Resource Acquisition:Substrate uptake:other transport,Resource Acquisition:Substrate uptake:peptide transport,Resource Acquisition:Substrate uptake:S compound transport,Resource Acquisition:Substrate uptake:secondary metabolite transport,Resource Acquisition:Substrate uptake:vitamin transport,Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization,Resource Acquisition:Substrate degradation:simple compound degradation,Resource Acquisition:Substrate assimilation:C1 compounds,Resource Acquisition:Substrate assimilation:N compounds,Resource Acquisition:Substrate assimilation:S compounds,Resource Acquisition:Substrate assimilation:P compounds,Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation,Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration,Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration,Resource Use:Chemotrophy:chemolithoautotrophy,Resource Use:Phototrophy:photosystem,Resource Use:Phototrophy:pigments:core,Resource Use:Phototrophy:pigments:accessory,Stress Tolerance:General,Stress Tolerance:Specific:temperature:high,Stress Tolerance:Specific:temperature:low,Stress Tolerance:Specific:desiccation/osmotic/salt stress,Stress Tolerance:Specific:pH stress,Stress Tolerance:Specific:oxidative stress,Stress Tolerance:Specific:oxygen limitation,Stress Tolerance:Specific:envelope stress,mingentime,ogt
H2-18-all-fractions_metab_conc_95,0,3,3,1,7,10,3,3,0,4,1,0,0,1,0,3,10,25,3,2,0,0,1,4,0,1,0,0,0,11,8,4,6,6,3,1,0,17.08984331,35.47781219
H2-18-all-fractions_metab_conc_96,0,2,8,4,2,6,2,1,1,1,1,0,0,1,1,1,22,24,2,2,0,1,0,2,0,0,0,0,0,10,8,4,4,6,2,0,1,7.904167325,35.40141844
H2-18-all-fractions_metab_conc_98,1,0,3,3,4,16,2,2,1,1,0,0,0,2,1,2,12,25,2,3,0,1,1,3,0,0,0,0,0,7,5,2,4,4,3,1,1,1.674442976,29.67424446
H2-18-all-fractions_metab_maxbC_80,0,2,2,1,2,4,2,1,1,2,0,0,0,0,0,2,11,23,1,2,0,1,1,2,0,0,0,0,0,7,5,2,3,5,1,0,1,15.26593264,36.00827451
H3-16-all-fractions_conc_123,0,2,8,2,4,8,2,2,3,1,1,0,1,0,0,1,34,36,1,3,1,1,0,4,0,1,0,0,0,11,7,4,6,5,2,0,0,2.308030429,29.22221151
H3-16-all-fractions_conc_3,0,0,16,8,8,16,3,2,3,1,0,0,1,0,1,4,27,39,3,2,1,1,1,4,0,0,0,0,3,12,8,4,8,9,3,1,1,4.620450028,34.93275062
H3-16-all-fractions_conc_58,0,0,17,3,5,12,1,2,1,4,0,0,1,0,0,3,28,38,3,2,0,0,1,4,0,0,0,0,0,9,8,1,5,5,1,0,0,13.92128527,32.75224397
H3-16-all-fractions_maxb_26,0,2,2,0,2,6,3,1,1,2,0,0,0,0,0,0,31,26,1,3,1,1,0,2,0,0,0,0,0,5,4,3,3,6,1,0,0,5.62848317,35.18581369
H3-16-all-fractions_metab_130,0,2,2,2,5,9,1,0,1,3,0,0,0,1,0,0,9,26,2,2,0,0,1,2,1,1,0,0,0,9,7,3,3,3,2,0,0,9.553475977,29.32650206
H3-16-all-fractions_metab_140,0,2,4,0,6,8,2,1,1,2,1,0,1,0,0,1,16,31,3,2,0,0,0,1,0,1,0,0,0,6,5,2,2,6,1,0,2,5.33224086,33.87516234
H3-16-all-fractions_metab_147,1,0,23,7,7,12,3,2,3,1,1,0,1,1,0,1,38,35,1,4,1,0,1,3,0,1,0,0,0,8,7,4,5,8,2,1,1,15.97104074,25.11672441
H3-16-all-fractions_metab_148,1,0,2,1,4,9,1,1,1,1,0,0,0,1,1,1,18,29,1,2,0,1,0,1,0,1,0,0,0,10,7,3,5,3,2,0,1,4.189891747,29.48190117
H3-16-all-fractions_metab_155,0,0,5,2,5,12,2,1,1,1,1,0,0,1,0,3,9,27,1,3,0,1,1,5,0,0,0,0,0,9,8,3,3,4,1,0,0,8.71413558,33.15030973
H3-16-all-fractions_metab_25,0,3,12,4,7,13,3,3,1,3,1,0,1,1,0,1,21,43,3,3,1,2,1,2,0,1,0,0,0,9,8,4,3,6,2,1,1,4.624644279,32.72691228
H3-16-all-fractions_metab_34,0,0,10,3,4,11,0,1,2,2,0,0,0,0,1,4,20,30,3,2,0,1,0,2,0,1,0,0,4,4,5,3,4,4,1,1,1,6.046750783,40.61576824
H3-16-all-fractions_metab_43,0,3,3,3,4,6,1,1,0,2,0,0,0,0,1,1,21,30,2,3,0,0,1,2,0,0,0,0,0,9,8,3,3,5,0,0,1,9.79610316,33.04193868
H3-16-all-fractions_metab_44,0,2,3,1,2,11,1,1,0,2,0,0,1,0,0,2,30,22,1,4,0,1,0,1,0,0,0,0,0,9,6,4,5,3,1,0,0,2.071558674,31.31886224
H3-16-all-fractions_metab_47,0,2,5,2,2,7,1,1,2,1,0,0,1,1,1,3,35,38,2,3,0,0,1,3,1,1,0,0,0,10,8,2,5,5,1,0,3,9.124129103,32.39915752
H3-16-all-fractions_metab_64,0,2,8,4,2,6,2,2,3,2,0,0,1,1,0,0,30,12,0,3,0,0,1,2,0,0,0,0,0,8,5,5,3,6,2,0,0,12.80788375,26.61538306
H3-16-all-fractions_metab_67,0,0,5,0,3,10,0,1,2,1,1,0,0,0,0,3,17,24,1,2,0,0,0,2,1,0,0,0,0,8,8,1,2,3,0,0,1,5.104508244,36.72876211
H3-16-all-fractions_metab_76,1,3,16,7,8,17,6,4,1,3,2,0,2,1,0,5,23,30,4,3,1,1,1,4,2,2,1,2,4,11,7,5,7,8,3,1,0,16.17217056,31.03157227
H3-16-all-fractions_metab_conc_1,0,2,2,1,3,7,2,0,2,1,0,0,1,0,1,2,16,30,1,3,1,1,0,2,0,0,0,0,0,9,7,2,4,5,1,0,0,13.5963794,31.98730196
H3-16-all-fractions_metab_conc_10,0,2,6,2,6,10,3,2,0,1,1,0,1,0,1,2,21,33,2,2,0,0,2,2,0,0,0,0,0,9,8,3,4,5,1,0,1,5.604883602,31.43086821
H3-16-all-fractions_metab_conc_100,0,3,19,6,10,14,5,5,1,2,2,0,2,2,1,2,33,31,3,2,1,1,1,4,0,0,0,0,0,5,3,4,6,4,2,0,0,4.160397111,28.54643661
H3-16-all-fractions_metab_conc_11,0,3,10,4,7,13,3,3,1,3,1,0,1,1,1,3,21,42,2,3,1,2,1,2,0,1,0,0,5,7,7,5,3,8,2,1,1,4.48158109,32.77156875
H3-16-all-fractions_metab_conc_110,0,2,3,2,2,7,1,0,1,0,0,0,1,0,1,3,13,21,1,3,1,1,0,0,0,0,0,0,0,6,4,1,2,3,1,0,0,13.3447788,34.87849772
H3-16-all-fractions_metab_conc_113,0,2,0,0,2,5,2,1,1,2,0,0,1,0,1,0,17,26,1,2,0,0,0,2,0,1,0,0,0,10,7,4,5,4,1,0,0,3.226127398,24.92865937
H3-16-all-fractions_metab_conc_118,0,0,13,6,10,18,2,2,2,1,2,0,0,2,2,1,18,34,3,2,1,0,1,7,0,0,0,0,8,11,8,4,8,9,2,1,1,5.854040022,32.88648289
H3-16-all-fractions_metab_conc_126,0,0,1,2,2,9,0,2,0,0,0,0,0,0,0,1,9,17,1,3,0,1,0,2,0,0,0,0,4,6,5,2,2,2,3,0,1,5.750055145,41.61144021
H3-16-all-fractions_metab_conc_13,0,3,1,0,3,7,2,1,0,3,0,0,1,1,0,2,11,28,4,1,0,1,0,6,0,1,0,0,0,9,8,5,5,7,1,0,0,3.008841507,34.32585067
H3-16-all-fractions_metab_conc_152,0,2,4,0,6,8,2,1,0,1,1,0,2,0,0,1,20,35,2,2,0,0,0,3,0,1,0,0,0,10,8,2,5,6,1,0,2,7.582090112,32.32295583
H3-16-all-fractions_metab_conc_29,1,0,10,4,7,14,1,1,1,1,1,0,0,1,0,1,30,34,5,3,1,1,1,3,1,0,0,0,8,6,6,4,5,8,2,1,1,9.401963625,27.95981866
H3-16-all-fractions_metab_conc_30,1,0,4,2,4,12,1,1,0,1,0,0,0,2,0,2,9,20,0,3,1,0,1,2,0,0,0,0,0,6,6,3,3,4,2,1,0,2.356264656,32.91396729
H3-16-all-fractions_metab_conc_31,0,3,6,4,8,10,0,2,1,2,0,0,0,1,0,3,11,29,2,3,1,0,0,3,0,2,0,0,0,13,8,4,7,7,4,1,0,16.5588907,34.87634549
H3-16-all-fractions_metab_conc_32,0,0,12,3,4,13,1,1,1,0,1,0,0,1,0,1,16,23,0,2,0,0,0,3,1,0,0,0,0,9,7,3,5,3,1,0,1,4.359789844,38.88461072
H3-16-all-fractions_metab_conc_36,0,2,3,3,3,8,1,1,1,1,0,0,0,0,0,2,27,32,1,3,1,0,0,3,1,1,0,0,0,11,8,3,5,4,3,0,3,13.2329311,33.57342946
H3-16-all-fractions_metab_conc_38,0,2,5,1,2,7,0,1,1,1,0,0,1,1,0,4,28,36,2,3,0,0,2,1,1,2,0,0,2,9,8,2,3,5,2,0,3,7.294300583,34.8523412
H3-16-all-fractions_metab_conc_40,0,2,1,2,2,6,2,1,1,2,0,0,1,0,1,0,21,21,2,2,0,0,1,1,0,0,0,0,0,10,7,2,4,3,1,0,0,2.363416913,26.65978858
H3-16-all-fractions_metab_conc_46,0,3,2,1,5,5,2,1,0,2,1,0,1,0,0,1,15,25,2,2,0,0,0,4,0,0,0,0,0,8,7,3,4,5,2,1,0,13.04253872,31.01182151
H3-16-all-fractions_metab_conc_6,0,0,6,0,3,10,0,1,2,0,2,0,0,0,0,3,19,14,2,3,0,0,0,2,1,0,0,0,0,5,5,0,4,2,0,0,1,5.37190262,36.88130696
H3-16-all-fractions_metab_conc_60,0,2,7,3,6,10,3,1,0,2,0,0,1,0,0,3,21,36,2,2,0,0,1,3,0,0,0,0,0,10,8,4,6,8,1,0,1,7.336175804,30.2564786
H3-16-all-fractions_metab_conc_62,0,0,1,3,3,10,1,1,0,1,0,0,0,1,0,1,20,29,2,2,0,1,1,4,0,0,0,0,0,7,5,3,5,7,2,0,1,10.9659278,37.06321538
H3-16-all-fractions_metab_conc_77,0,2,1,1,1,4,2,0,0,2,0,0,1,0,1,2,14,29,1,3,1,1,0,0,0,0,0,0,0,8,6,2,3,5,1,0,1,11.04050981,34.76969725
H3-16-all-fractions_metab_conc_78,1,3,22,10,23,16,5,5,4,2,2,1,4,2,2,5,14,35,6,2,1,0,1,4,2,2,0,0,0,12,8,2,10,8,3,0,1,2.973180753,29.12073381
H3-16-all-fractions_metab_conc_83,0,0,8,3,2,8,2,1,1,1,1,0,0,1,1,1,25,24,2,2,0,1,0,1,0,0,0,0,0,9,8,4,3,7,2,0,1,5.842270216,35.39371275
H3-16-all-fractions_metab_conc_87,0,0,1,1,5,9,2,2,0,1,0,0,0,1,1,0,10,21,2,3,1,0,0,4,0,0,0,0,0,8,7,3,5,4,2,0,0,3.829944513,34.91901481
H3-16-all-fractions_metab_conc_90,0,3,6,2,4,8,2,1,1,1,0,0,0,1,1,0,29,37,2,3,1,0,1,3,1,1,0,0,0,10,8,4,5,6,1,0,2,13.2184636,32.41490568
H3-16-all-fractions_metab_conc_98,0,3,8,2,7,12,3,3,0,4,1,0,0,1,0,3,16,29,4,3,0,1,1,3,0,2,0,0,0,12,8,4,7,6,4,1,0,18.84766478,33.8194973
H3-16-all-fractions_metab_maxb_73,0,0,2,2,2,6,2,2,1,2,1,0,1,0,0,0,29,28,1,2,1,0,0,2,0,1,0,0,0,7,6,3,2,6,1,0,0,8.038258139,36.51018832
H3-16-all-fractions_metab_maxbC_112,0,3,9,6,10,9,3,5,2,2,1,0,1,2,1,3,20,36,2,2,1,1,0,5,0,0,0,0,0,8,7,5,5,5,0,0,2,0.900657436,28.62054949
H3-16-all-fractions_metab_maxbC_136,0,3,4,3,4,8,2,3,0,2,0,0,0,1,0,1,19,28,1,2,0,0,1,0,0,0,0,0,0,8,6,4,5,4,1,0,1,2.075600241,31.06398615
H3-16-all-fractions_metab_maxbC_4,0,3,2,1,3,8,1,1,2,3,1,0,1,0,0,0,13,31,1,3,0,0,0,0,0,0,0,0,0,7,6,2,4,4,0,0,0,0.884399559,33.55402131
H3-18-all-fractions_conc_114,0,0,15,4,7,13,3,1,1,1,0,0,1,0,0,1,40,36,3,3,0,1,1,4,0,0,0,0,4,8,8,3,5,7,1,1,1,4.232874406,35.13584419
H3-18-all-fractions_conc_15,0,0,3,4,5,13,2,0,1,2,1,0,0,1,0,1,23,24,5,2,0,0,1,2,2,2,0,0,0,7,5,2,4,4,2,1,1,10.63561441,28.21961783
H3-18-all-fractions_metab_8,0,2,3,2,5,10,2,2,2,1,1,0,1,0,2,3,17,34,5,2,0,0,0,3,1,1,0,0,0,8,6,3,4,5,1,0,1,8.934057164,36.99991846
H3-18-all-fractions_metab_conc_100,0,0,1,3,3,10,1,1,0,1,0,0,0,1,0,1,20,27,2,2,0,1,1,3,0,0,0,0,0,8,6,4,4,7,2,0,1,9.240223838,37.29975241
H3-18-all-fractions_metab_conc_14,0,3,1,3,6,7,1,1,1,1,0,0,0,0,0,0,15,33,2,3,1,1,1,4,1,1,0,0,0,9,8,3,5,6,1,0,3,16.94911792,28.73664722
H3-18-all-fractions_metab_conc_20,1,0,3,0,3,11,1,2,1,1,0,0,0,1,1,2,8,20,2,2,1,0,1,2,0,0,0,0,0,7,5,4,5,4,3,1,0,6.475050861,31.86370921
H3-18-all-fractions_metab_conc_21,0,2,3,4,4,8,2,2,0,3,0,0,0,1,0,2,14,30,2,3,1,0,1,2,1,1,0,0,0,9,7,2,4,5,1,0,0,19.87555521,33.79622017
H3-18-all-fractions_metab_conc_25,0,3,8,4,5,6,3,1,3,2,0,0,0,0,0,3,33,42,2,2,1,0,1,4,2,1,1,0,0,11,8,3,6,6,2,0,3,14.5417161,26.85933338
H3-18-all-fractions_metab_conc_26,1,0,4,0,4,11,1,1,1,1,0,0,0,1,1,2,12,17,1,3,0,0,1,1,0,0,0,0,0,5,5,3,4,2,1,0,0,2.759202239,33.01594503
H3-18-all-fractions_metab_conc_30,0,0,6,2,3,10,0,1,1,1,1,0,0,0,0,1,17,28,1,2,0,0,1,3,0,0,0,0,0,8,7,2,4,4,1,0,1,6.033908925,39.03805656
H3-18-all-fractions_metab_conc_35,0,3,8,1,8,11,4,3,0,3,1,0,0,1,0,3,15,28,3,3,0,1,1,4,0,1,0,0,0,12,8,3,7,6,4,1,0,19.04914411,33.56687161
H3-18-all-fractions_metab_conc_37,0,3,14,12,11,15,5,4,1,3,1,0,0,2,0,5,17,25,4,4,1,0,2,4,2,0,1,2,4,12,7,3,7,6,4,0,0,8.450108012,24.37192175
H3-18-all-fractions_metab_conc_4,0,3,6,6,7,13,2,5,1,2,1,0,0,2,1,4,12,26,4,3,1,1,0,2,0,0,0,0,0,8,6,3,7,6,2,1,0,6.616253253,32.63259011
H3-18-all-fractions_metab_conc_49,0,0,12,3,5,12,0,1,1,1,1,0,0,1,0,1,20,25,1,2,0,0,1,3,1,0,0,0,0,7,7,3,3,4,1,0,1,4.861153926,37.52208016
H3-18-all-fractions_metab_conc_51,0,2,5,1,3,7,1,1,2,2,0,0,1,1,0,3,29,37,3,3,0,0,2,2,1,2,0,0,2,9,8,3,3,5,2,0,3,6.667436864,34.44603672
H3-18-all-fractions_metab_conc_55,0,3,2,1,4,6,2,1,2,0,1,0,1,0,1,1,12,28,3,2,0,0,0,1,0,0,0,0,0,9,7,4,5,6,2,0,1,5.847347791,31.81766969
H3-18-all-fractions_metab_conc_57,0,3,4,2,6,5,2,1,2,1,0,0,0,0,0,3,30,35,2,3,0,0,1,4,1,1,0,0,0,10,8,2,4,5,1,0,3,17.12691014,27.75644446
H3-18-all-fractions_metab_conc_6,0,2,5,0,6,7,0,0,1,1,0,0,1,1,0,3,23,35,3,3,0,1,2,2,0,1,0,0,2,7,7,2,3,6,1,0,3,10.14406088,32.04725981
H3-18-all-fractions_metab_conc_69,0,2,5,3,7,7,2,1,2,2,0,0,0,0,0,1,28,29,3,3,0,1,1,4,0,0,0,0,0,11,8,3,6,7,2,0,0,21.30908172,31.36569027
H3-18-all-fractions_metab_conc_70,0,2,2,2,1,5,2,1,1,2,0,0,0,0,0,1,12,23,2,2,1,1,0,3,0,0,0,0,0,6,4,2,4,2,1,0,1,12.00913637,34.62039052
H3-18-all-fractions_metab_conc_75,0,3,3,7,7,10,4,3,1,3,0,0,2,1,0,3,16,35,2,2,0,0,0,3,0,0,0,0,0,7,6,2,4,5,1,0,0,4.280852539,36.48412712
H3-18-all-fractions_metab_conc_87,0,2,1,3,7,6,1,1,0,2,0,0,1,0,0,2,14,26,1,3,0,1,0,1,0,0,0,0,0,7,4,2,5,5,1,0,0,18.59556707,37.50541918
H3-18-all-fractions_metab_maxbC_50,0,0,5,3,1,6,0,0,2,2,0,0,0,1,0,2,14,19,2,2,1,0,0,3,0,0,0,0,0,5,6,3,2,1,0,0,0,7.649614031,37.14738177
H3-18-all-fractions_metab_maxbC_83,0,2,7,2,2,7,3,2,1,1,0,0,1,0,0,2,15,26,1,3,0,1,0,1,0,0,0,0,0,5,3,3,3,4,1,0,0,8.986815477,36.46987392
