me,code,taxonomy,description,bin.length,GC,prop.gc,coverage,num.contigs,num.features,longest.contig,RP.Inventory.max.55,RP.multiple,BSCG.Inventory.max.51,BSCG.multiple,ASCG.Inventory.max.38,ASCG.multiple,curation.status,completion.status,domain,phylum,class,order,genus,species,misc,drep.filt,drep.set,drep.prim.clust,drep.sec.clust,R1.16,R1.18,R2.16,R2.18,R3.16,R3.18,mean.16,mean.18,afe.mean,afe.median,lower.ci,upper.ci,ci.range,phylum.afe.order,site,sample,cov,rel.abund,gtdb.domain,gtdb.phylum,gtdb.class,gtdb.order,gtdb.family,gtdb.genus,gtdb.species
A2-18-all-fractions_conc_77,A2-18-all-fractions_Actinobacteria_72_21,"Actinobacteria, Actinobacteria, Bacteria",NA,5416081,71.5,0.715,20.74,782,5839,65363,32,3,38,1,12,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,200,200_4,1.726453339,1.740749853,1.724362946,1.732743413,1.724784199,1.736967312,1.725200161,1.736820193,0.171927206,0.171449923,0.123711204,0.210787461,0.087076257,32,A,A2-18,1.128284623,0.009825908,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Jatrophihabitantaceae,g__Jatrophihabitans,s__
A2-18-all-fractions_metab_conc_98,A2-18-all-fractions_Gemmatimonadetes_69_16,"Gemmatimonadetes, Bacteria",NA,5091287,68.55,0.6855,15.54,598,4905,71509,20,0,24,3,11,1,Uncurated genome,partial,Bacteria,Gemmatimonadetes,unknown,unknown,unknown,unknown,unknown,1,1,289,289_1,1.724492467,1.739131599,1.722926649,1.730939603,1.72337336,1.735620743,1.723597492,1.735230648,0.172333709,0.171795009,0.118379006,0.216074173,0.097695167,235,A,A2-18,1.405440529,0.012239579,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,s__
A2-16-all-fractions_metab_conc_99,A2-16-all-fractions_Acidobacteriales_58_11,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",NA,5194328,58.19,0.5819,10.6,753,4957,41948,33,2,30,1,9,1,Uncurated genome,partial,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,unknown,unknown,unknown,1,1,299,299_0,1.717750557,1.732017248,1.717716777,1.723916169,1.716353283,1.73102469,1.717273539,1.728986035,0.172853864,0.173574666,0.091848884,0.217541151,0.125692267,2,A,A2-16,1.19213491,0.008664038,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__KBS-89,s__
A1-16-all-fractions_metab_conc_40,A1-16-all-fractions_Propionibacteriales_72_18,"Propionibacteriales, Actinobacteria, Actinobacteria, Bacteria",NA,4042433,71.64,0.7164,17.56,69,3985,345080,28,1,28,1,13,1,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,unknown,unknown,unknown,1,1,211,211_0,1.737930015,1.760437627,1.740020277,1.756606198,1.748985679,1.746049024,1.74231199,1.754364283,0.178599644,0.176081678,-0.042740252,0.329660996,0.372401249,61,A,A1-16,1.187741657,0.01290516,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__
A1-18-all-fractions_metab_conc_35,A1-18-all-fractions_Caulobacterales_71_11,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3403305,70.99,0.7099,10.64,547,3931,27784,38,0,40,2,12,1,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,1,244,244_0,1.725806713,1.740470429,1.723906138,1.731392044,1.724290808,1.738680023,1.724667886,1.736847498,0.179082628,0.179760322,0.110534171,0.21628069,0.105746518,303,A,A1-18,0.989971839,0.008864629,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A3-16-all-fractions_metab_maxb_64,A3-16-all-fractions_Arthrobacter_phenthrenivorans_66_18,"Arthrobacter phenthrenivorans, Arthrobacter, Micrococcales, Actinobacteria, Actinobacteria, Bacteria",NA,3915870,66.09,0.6609,18.21,563,4121,57015,24,1,26,1,12,0,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Arthrobacter,Arthrobacterpheunknownnthrenivorans,Bacteria,1,1,27,27_2,1.721816096,1.736151177,1.72117712,1.728918464,1.720754742,1.737300106,1.72124932,1.734123249,0.188743096,0.190370198,0.114478107,0.244730977,0.13025287,53,A,A3-16,1.96617512,0.017420676,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Pseudarthrobacter,s__
A1-16-all-fractions_metab_conc_31,A1-16-all-fractions_Burkholderia_63_10,"Burkholderia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,5609343,63.28,0.6328,10.03,334,5449,84639,24,2,24,2,12,1,Uncurated genome,partial,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderia,unknown,unknown,1,1,255,255_0,1.727280736,1.74755537,1.728607929,1.729590634,1.724631847,1.743950949,1.72684017,1.740365651,0.197873971,0.199348288,0.014469005,0.298745973,0.284276967,302,A,A1-16,0.732962741,0.007963855,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Caballeronia,s__
A1-16-all-fractions_conc_68,A1-16-all-fractions_Arthrobacter_phenthrenivorans_65_36,"Arthrobacter phenthrenivorans, Arthrobacter, Micrococcales, Actinobacteria, Actinobacteria, Bacteria",NA,4714014,65.3,0.653,35.58,812,5168,61631,47,3,49,7,13,2,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Arthrobacter,Arthrobacterpheunknownnthrenivorans,Bacteria,1,1,27,27_1,1.728630148,1.741790375,1.729826284,1.733659805,1.725210711,1.749669327,1.727889048,1.741706502,0.201523883,0.203534606,0.056405503,0.360840926,0.304435423,54,A,A1-16,2.739464545,0.029765084,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Pseudarthrobacter,s__
A3-18-all-fractions_metab_conc_130,A3-18-all-fractions_Sphingomodales_65_15,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2458796,64.97,0.6497,14.92,169,2653,64860,31,1,32,3,11,1,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,NA,235,235_1,1.721936939,1.738576218,1.720964749,1.731372099,1.721009866,1.736481827,1.721303851,1.735476715,0.208872467,0.209567455,0.153918904,0.245946726,0.092027821,1400,A,A3-18,1.004661643,0.00980863,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A3-16-all-fractions_metab_conc_41,A3-16-all-fractions_Caulobacterales_70_23,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3532642,69.96,0.6996,23.02,448,3957,97864,45,3,44,3,11,2,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,NA,243,243_1,1.725042615,1.743021423,1.723241565,1.732916881,1.72367503,1.738746102,1.723986403,1.738228135,0.209231268,0.210275025,0.142914976,0.265289333,0.122374357,1409,A,A3-16,1.765715246,0.015644564,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A3-18-all-fractions_metab_conc_82,A3-18-all-fractions_Caulobacterales_70_28,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3476056,69.96,0.6996,27.94,474,3912,88695,49,3,48,4,10,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,NA,243,243_1,1.725036094,1.743030836,1.723243154,1.732912408,1.723680306,1.738765701,1.723986518,1.738236315,0.209550147,0.210394086,0.142825289,0.265525459,0.12270017,1410,A,A3-18,1.522451905,0.014863877,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A2-16-all-fractions_metab_conc_100,A2-16-all-fractions_Sphingomodales_65_26,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2458447,64.9,0.649,26.37,129,2633,125942,51,1,51,2,13,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,1,235,235_1,1.721882832,1.738594854,1.720951356,1.73138903,1.720973986,1.736471877,1.721269391,1.735485254,0.20981686,0.210207242,0.154368416,0.247029437,0.092661021,293,A,A2-16,2.845315039,0.020678799,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A2-16-all-fractions_metab_conc_72,A2-16-all-fractions_Caulobacterales_70_34,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3504553,69.9,0.699,33.9,476,3923,54227,49,2,49,3,10,3,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,NA,243,243_1,1.725002082,1.742997981,1.723217367,1.732899676,1.723644555,1.738735095,1.723954668,1.738210917,0.210120058,0.210493014,0.14302011,0.265547467,0.122527357,1408,A,A2-16,3.093928363,0.022485637,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A1-18-all-fractions_metab_conc_18,A1-18-all-fractions_Caulobacterales_70_21,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3579377,69.96,0.6996,21.44,491,4010,84946,52,3,51,2,11,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,1,243,243_1,1.725035618,1.743077611,1.723242632,1.732930447,1.7236797,1.738813574,1.723985983,1.738273877,0.210485463,0.210956622,0.143099493,0.26622272,0.123123228,297,A,A1-18,2.700845763,0.024184521,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A2-18-all-fractions_maxb_conc_17,A2-18-all-fractions_Caulobacterales_70_17,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3334587,70.04,0.7004,17.02,343,3665,99919,25,3,23,4,9,0,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,NA,243,243_1,1.725081315,1.743021793,1.723278125,1.732956347,1.723720964,1.738750159,1.724026801,1.738242767,0.210555901,0.209889908,0.142955022,0.264718114,0.121763093,1295,A,A2-18,1.067732049,0.009298573,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A2-18-all-fractions_metab_conc_127,A2-18-all-fractions_Sphingomodales_65_15,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2400277,64.95,0.6495,15.31,121,2552,120275,35,4,34,3,11,0,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,NA,235,235_1,1.721899029,1.73859841,1.720959534,1.731398574,1.72097767,1.736504303,1.721278744,1.735500429,0.210734639,0.210292348,0.154387993,0.246840449,0.092452456,1286,A,A2-18,2.174708406,0.018938913,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A2-16-all-fractions_metab_conc_27,A2-16-all-fractions_Massilia_sp__JS1662_67_13,"Massilia sp. JS1662, Massilia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,5743775,66.85,0.6685,13.27,953,5817,51469,32,4,35,7,9,3,Uncurated genome,partial,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Massilia,Massiliasp.JS1662,Bacteria,1,1,258,258_0,1.723202038,1.738638347,1.721720968,1.732706638,1.721926306,1.738966685,1.722283104,1.736770557,0.21354747,0.214103816,0.162405496,0.251884584,0.089479087,294,A,A2-16,1.164252866,0.008461401,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__
A1-16-all-fractions_metab_conc_44,A1-16-all-fractions_Myxococcales_72_10,"Myxococcales, Deltaproteobacteria, Proteobacteria, Bacteria",NA,5689809,71.7,0.717,9.51,491,5543,73964,33,1,36,3,9,0,Uncurated genome,partial,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unknown,unknown,unknown,1,1,297,297_0,1.738008518,1.756408818,1.737248517,1.745928888,1.74048261,1.759229068,1.738579881,1.753855591,0.222798895,0.22365449,0.127188318,0.274170292,0.146981974,295,A,A1-16,0.638058908,0.006932697,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__,g__,s__
A1-16-all-fractions_metab_conc_20,A1-16-all-fractions_Caulobacterales_70_38,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3557714,69.91,0.6991,38.1,531,4007,60062,52,2,51,2,10,2,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,unknown,unknown,unknown,1,NA,243,243_1,1.735199709,1.754766215,1.73514076,1.744423801,1.735418146,1.752312811,1.735252872,1.750500942,0.223116622,0.22367139,0.136180161,0.287026587,0.150846426,1403,A,A1-16,2.4392951,0.026503655,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__
A3-16-all-fractions_maxb_98,A3-16-all-fractions_Elusimicrobia_70_26,"Elusimicrobia, Elusimicrobia, Bacteria",NA,3921320,70.18,0.7018,25.73,152,3704,162970,24,1,27,0,8,0,Uncurated genome,partial,Bacteria,Elusimicrobia,Elusimicrobia,unknown,unknown,unknown,unknown,1,NA,275,275_1,1.725194631,1.741802624,1.723450189,1.73521845,1.723752002,1.741338084,1.724132274,1.739453053,0.225107829,0.226188463,0.173809593,0.25968957,0.085879978,1207,A,A3-16,2.216957579,0.019642655,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA9628,g__PALSA-1176,s__
A3-18-all-fractions_metab_conc_133,A3-18-all-fractions_Myxococcales_66_10,"Myxococcales, Deltaproteobacteria, Proteobacteria, Bacteria",NA,6209803,66.3,0.663,10.34,455,5673,62837,50,0,50,3,13,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unknown,unknown,unknown,1,1,296,296_1,1.722384011,1.740538582,1.721201831,1.732119135,1.721203796,1.738208264,1.721596546,1.736955327,0.226248762,0.227069305,0.16144205,0.268280485,0.106838435,288,A,A3-18,0.68143403,0.006652921,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__,s__
A3-16-all-fractions_metab_94,A3-16-all-fractions_Burkholderiales_63_10,"Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,5567515,63.26,0.6326,10.09,696,5579,58881,25,5,27,8,13,3,Uncurated genome,partial,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unknown,unknown,unknown,1,1,252,252_1,1.7208303,1.738062206,1.720311398,1.730448433,1.71966684,1.738893181,1.720269513,1.735801273,0.228109511,0.229792594,0.149973913,0.284553649,0.134579736,274,A,A3-16,0.997100149,0.008834492,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Herminiimonas,s__
A3-18-all-fractions_metab_conc_140,A3-18-all-fractions_Deltaproteobacteria_69_10,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,7379846,69.1,0.691,10.08,609,7098,89852,24,0,23,4,12,1,Uncurated genome,partial,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,1,63,63_2,1.724156761,1.741388264,1.722663745,1.73515412,1.722942233,1.739694407,1.723254246,1.738745597,0.228264495,0.228819282,0.184555795,0.254389447,0.069833653,284,A,A3-18,0.46603565,0.004549961,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__,s__
A2-16-all-fractions_conc_9,A2-16-all-fractions_Elusimicrobia_70_35,"Elusimicrobia, Elusimicrobia, Bacteria",NA,4418320,69.96,0.6996,34.54,423,4646,73772,49,1,49,2,13,0,Uncurated genome,near complete,Bacteria,Elusimicrobia,Elusimicrobia,unknown,unknown,unknown,unknown,1,NA,275,275_1,1.725075428,1.742087993,1.723367105,1.735158928,1.723656999,1.741426501,1.724033177,1.739557808,0.228684938,0.22921039,0.174165371,0.26241162,0.088246249,1206,A,A2-16,3.51711589,0.025561223,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA9628,g__PALSA-1176,s__
A3-18-all-fractions_metab_conc_20,A3-18-all-fractions_Elusimicrobia_70_10,"Elusimicrobia, Elusimicrobia, Bacteria",NA,3690443,70,0.7,10.48,362,3775,49520,43,1,44,1,12,0,Uncurated genome,near complete,Bacteria,Elusimicrobia,Elusimicrobia,unknown,unknown,unknown,unknown,1,NA,275,275_1,1.725153779,1.742353609,1.723405124,1.735307748,1.723706153,1.741634452,1.724088352,1.73976527,0.230751167,0.231451582,0.175798161,0.264749325,0.088951164,1204,A,A3-18,0.741503782,0.007239389,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA9628,g__PALSA-1176,s__
A2-18-all-fractions_metab_90,A2-18-all-fractions_Elusimicrobia_70_8,"Elusimicrobia, Elusimicrobia, Bacteria",NA,3370750,70.05,0.7005,7.52,666,3721,24661,49,1,49,1,13,0,Uncurated genome,near complete,Bacteria,Elusimicrobia,Elusimicrobia,unknown,unknown,unknown,unknown,1,1,275,275_1,1.725158836,1.742328253,1.72342545,1.73538281,1.723722903,1.741622348,1.724102396,1.739777804,0.231683988,0.231427592,0.17660467,0.264320877,0.087716207,232,A,A2-18,0.793474928,0.006910146,d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA9628,g__PALSA-1176,s__
A2-16-all-fractions_metab_conc_2,A2-16-all-fractions_Sphingomodales_61_8,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,1951083,60.71,0.6071,8.38,181,2073,33899,25,0,25,1,10,0,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,1,241,241_2,1.718830212,1.739977771,1.718851712,1.728981396,1.717959652,1.734860131,1.718547192,1.734606433,0.237382519,0.237824998,0.149986255,0.313127503,0.163141248,287,A,A2-16,0.969574262,0.007046542,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A1-18-all-fractions_metab_conc_42,A1-18-all-fractions_Sphingomodales_61_10,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2980871,60.57,0.6057,10.27,274,3203,55530,36,4,37,1,12,1,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,1,241,241_1,1.718752328,1.739878355,1.718793661,1.728934346,1.717846066,1.734867794,1.718464018,1.734560165,0.237804307,0.238382558,0.150153882,0.312822163,0.162668281,286,A,A1-18,2.37517165,0.021268296,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A1-18-all-fractions_metab_conc_57,A1-18-all-fractions_Sphingomodales_65_17,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2782643,64.88,0.6488,16.95,162,2942,111913,49,3,49,2,11,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,1,234,234_1,1.721766912,1.74232122,1.720963777,1.731115978,1.720785333,1.738789353,1.721172007,1.73740885,0.239389976,0.240104609,0.150145276,0.303844712,0.153699437,281,A,A1-18,2.861611564,0.025624086,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A3-16-all-fractions_metab_conc_113,A3-16-all-fractions_Sphingomodales_65_19,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2838088,64.81,0.6481,18.72,191,2999,73210,37,3,37,1,10,0,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,NA,234,234_1,1.721741102,1.742309623,1.72097435,1.731251132,1.720758553,1.738805936,1.721158001,1.737455564,0.23952085,0.241004185,0.151986653,0.304059024,0.152072371,1351,A,A3-16,1.917948728,0.016993381,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A3-18-all-fractions_metab_conc_87,A3-18-all-fractions_Sphingomodales_65_14,"Sphingomodales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,2730979,64.87,0.6487,13.92,162,2876,83641,38,2,39,3,10,1,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomounknowndales,unknown,unknown,unknown,1,NA,234,234_1,1.721767485,1.742317262,1.720995296,1.731245397,1.720790699,1.738812287,1.721184493,1.737458315,0.239539889,0.240649659,0.151590359,0.303777582,0.152187222,1352,A,A3-18,1.403239782,0.013699995,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_A,s__
A2-16-all-fractions_metab_conc_95,A2-16-all-fractions_Deltaproteobacteria_69_9,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,7129378,69.17,0.6917,8.88,1093,7279,33085,36,7,39,8,10,1,Uncurated genome,partial,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,NA,63,63_1,1.724217564,1.742309939,1.722658244,1.735605967,1.722953538,1.740791722,1.723276449,1.739569209,0.240249073,0.240653901,0.191314315,0.267089423,0.075775107,1353,A,A2-16,0.742505603,0.005396283,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__,s__
A2-18-all-fractions_conc_14,A2-18-all-fractions_Deltaproteobacteria_69_14,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,8228005,69,0.69,13.75,193,7431,323421,51,2,51,4,11,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,1,63,63_1,1.724129457,1.742228675,1.722582565,1.735523632,1.722849289,1.740748876,1.723187104,1.739500395,0.241281951,0.240968965,0.191223833,0.267203364,0.075979531,257,A,A2-18,0.825702129,0.007190803,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__,s__
A3-16-all-fractions_metab_conc_15,A3-16-all-fractions_Massilia_sp__JS1662_66_17,"Massilia sp. JS1662, Massilia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,6448865,66.02,0.6602,16.5,265,5733,140335,23,0,22,2,8,3,Uncurated genome,partial,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Massilia,Massiliasp.JS1662,Bacteria,1,1,256,256_0,1.722275773,1.737503748,1.721369725,1.735761165,1.721183004,1.741656948,1.721609501,1.738307287,0.245776887,0.246862625,0.212794882,0.30276492,0.089970038,278,A,A3-16,1.665320893,0.014755051,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__
A1-16-all-fractions_maxb_61,A1-16-all-fractions_Bacteria_51_7,Bacteria,NA,3732151,51.16,0.5116,6.89,672,4083,31704,44,2,48,2,10,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,15,15_1,1.721846004,1.73997382,1.719391963,1.727776591,1.715984682,1.739999713,1.719074216,1.735916708,0.247839981,0.249309529,0.124089795,0.356120451,0.232030656,1730,A,A1-16,0.540182318,0.005869239,d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__UBA1018,f__UBA1018,g__,s__
A1-18-all-fractions_metab_conc_64,A1-18-all-fractions_Burkholderiales_71_12,"Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,5886940,70.76,0.7076,11.59,1025,6057,44527,20,4,21,8,7,3,Uncurated genome,partial,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unknown,unknown,unknown,1,1,246,246_2,1.725460018,1.744352389,1.723676449,1.73660643,1.723980382,1.742811857,1.724372283,1.741256892,0.248660497,0.249243719,0.190944164,0.278705684,0.08776152,276,A,A1-18,2.175670238,0.019481876,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Vitreoscilla_A,s__
A2-16-all-fractions_metab_conc_76,A2-16-all-fractions_Burkholderiales_71_36,"Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,6461693,70.56,0.7056,35.9,497,6100,89647,42,7,42,6,12,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unknown,unknown,unknown,1,NA,246,246_1,1.725360243,1.744284754,1.723586847,1.736534241,1.723868524,1.742703714,1.724271872,1.741174236,0.24902583,0.249519574,0.19121065,0.279195082,0.087984432,1342,A,A2-16,3.394368978,0.024669139,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Vitreoscilla_A,s__
A3-16-all-fractions_maxb_87,A3-16-all-fractions_Bacteria_53_7,Bacteria,NA,3269326,52.53,0.5253,6.69,730,3652,25374,36,1,37,1,8,2,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,17,17_2,1.715945969,1.735211773,1.715355631,1.724869063,1.712795981,1.735157907,1.714699194,1.731746247,0.250610825,0.252986961,0.141130145,0.332231129,0.191100984,374,A,A3-16,0.412002941,0.003650422,d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__UBA1018,f__UBA1018,g__,s__
A1-18-all-fractions_conc_50,A1-18-all-fractions_Burkholderia_graminis_63_7,"Burkholderia graminis, Burkholderia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",NA,5546311,63.28,0.6328,6.52,2092,6510,11079,41,6,44,10,12,3,Uncurated genome,near complete,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderia,Burkholderiagraminis,Bacteria,1,1,254,254_6,1.720504208,1.742114655,1.720219662,1.730367844,1.719664077,1.738949076,1.720129316,1.737143858,0.250906204,0.251750977,0.150146886,0.319683329,0.169536443,272,A,A1-18,1.441753606,0.012910074,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia graminis
