isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,biotin ,Organic acids,0.455737740502977,0.00952670419718844,7.628311740435562e-10,9.110111028648371e-10
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,biotin ,Organic acids,0.4842918166862646,0.009727354428244541,7.79350038629895e-10,8.299092848374056e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,biotin ,Organic acids,0.3844409786660339,0.007764301873115961,5.788965535979803e-10,9.270427487301795e-10
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,biotin ,Organic acids,NaN,0.005967940529220898,NaN,3.18270076809846e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,biotin ,Organic acids,0.3162316595029718,0.0162796259354322,1.417200000690372e-9,3.0623196821756013e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,biotin ,Organic acids,0.546173138722753,0.07412162814544603,9.06814395488803e-9,6.3274014467143765e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,biotin ,Organic acids,0.6798446706361807,0.027566041145681737,2.8767598605368213e-9,1.3159225794953585e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,biotin ,Organic acids,0.4024139186649942,0.006581209398048323,4.5008028531006874e-10,6.695053684461359e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,biotin ,Organic acids,NaN,0.013661301829279783,NaN,4.5372167306691285e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,biotin ,Organic acids,NaN,0.008542044281288762,NaN,2.922635441237635e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,biotin ,Organic acids,0.6528868704481019,0.010981515833495317,9.374270386765608e-10,4.983924096060323e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,biotin ,Organic acids,0.6890897098123818,0.022141219809485604,2.312024529694693e-9,9.748409348852722e-10
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,biotin ,Organic acids,0.47392790382500555,0.08572984204432976,1.1867828243964761e-8,8.534382914270024e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,biotin ,Organic acids,0.24996071592457175,0.00511976963295487,2.384755732759925e-10,7.448014652874284e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,biotin ,Organic acids,0.4696060174340258,0.027411259143541228,2.9134626917339316e-9,3.138616627865065e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,caffeic acid,Organic acids,NaN,0.01068329859889493,NaN,3.5916928335462964e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,caffeic acid,Organic acids,0.37830200568846895,0.042976076228848685,4.885351530604567e-9,7.179102787169471e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,caffeic acid,Organic acids,0.2776809110480398,0.005186038170483546,1.623078713856441e-10,4.812154910525089e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,caffeic acid,Organic acids,0.6670471132981861,0.02272164371007919,2.2917898385454018e-9,1.121811192308927e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,caffeic acid,Organic acids,0.6603776924689063,0.020411346821708396,2.0110878993405605e-9,1.0225941774841607e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,caffeic acid,Organic acids,0.6664174838606021,0.022224648688039934,2.2327879960491595e-9,1.0954377297152614e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,caffeic acid,Organic acids,0.46677353675070177,0.023256242723538014,2.2897588352094877e-9,2.5835421629971844e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,caffeic acid,Organic acids,0.6764552514207931,0.03170404757825958,3.3830028265111904e-9,1.5299524276683552e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,caffeic acid,Organic acids,NaN,0.00941880839405148,NaN,7.366947283343513e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,caffeic acid,Organic acids,NaN,0.005487813980062348,NaN,3.081314698271845e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,caffeic acid,Organic acids,0.6060142836896665,0.03620757957182877,4.235156988715953e-9,2.2231039212034514e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,caffeic acid,Organic acids,0.3717186128384529,0.009880277891048873,1.0927845088703851e-10,3.702178316992317e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,caffeic acid,Organic acids,0.5278354963295744,0.03968713348720252,4.638705214957887e-9,3.5569932977324055e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,caffeic acid,Organic acids,0.4681516944364199,0.015774715335095425,1.4381622623192032e-9,1.6285809165079091e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,caffeic acid,Organic acids,0.41913824015898266,0.006455120113989379,4.106106620291363e-10,5.697382655122799e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,caffeic acid,Organic acids,0.4726336141796593,0.017830025942274886,1.6524877783587206e-9,1.8373185941931842e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,caffeic acid,Organic acids,0.5430761815586107,0.01943060330181529,1.8470888836665106e-9,1.5375844313416622e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,caffeic acid,Organic acids,0.5865849541562365,0.02124191423892341,2.190582197782077e-9,1.4571534387420668e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,caffeic acid,Organic acids,0.5198557242078837,0.00553038051991271,2.790924287389064e-10,2.666790557849395e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,caffeic acid,Organic acids,0.48087859022661333,0.005706162949491183,3.242213299817685e-10,3.5573351170329495e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,caffeic acid,Organic acids,0.375338892785053,0.009399025025147202,1.5131162069113365e-10,4.64739473968475e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,caffeic acid,Organic acids,NaN,0.00633345763406325,NaN,2.512942331734073e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,caffeic acid,Organic acids,0.5244617184375437,0.015190674943307605,1.33058099269236e-9,1.2055848806327635e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,caffeic acid,Organic acids,NaN,0.008113234587536563,NaN,7.748168123180129e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,caffeic acid,Organic acids,0.4445150612908205,0.009527890108990973,7.629645209709156e-10,9.534357289226061e-10
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,caffeic acid,Organic acids,0.4722594147272971,0.009728559194804417,7.794843012602157e-10,8.710604919143163e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,caffeic acid,Organic acids,0.37488176198987455,0.007765267199080906,5.790041160344018e-10,9.656191558387672e-10
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,caffeic acid,Organic acids,NaN,0.005968128988473947,NaN,3.2387402797123496e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,caffeic acid,Organic acids,0.30900204075220794,0.016274894442721694,1.4173583583767725e-9,3.166319690757951e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,caffeic acid,Organic acids,0.5343729522803076,0.07576056128442604,9.069010589217092e-9,6.798873414212507e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,caffeic acid,Organic acids,0.6646368860833336,0.026895142573205084,2.877639536016779e-9,1.36553191087705e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,caffeic acid,Organic acids,0.39190896585652474,0.006582030528145059,4.501716990254724e-10,6.996260311498345e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,caffeic acid,Organic acids,NaN,0.013661584696219068,NaN,4.6113613356324634e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,caffeic acid,Organic acids,NaN,0.008542266980836363,NaN,2.975204118330128e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,caffeic acid,Organic acids,0.6364909252544506,0.010982886167915524,9.375796355964577e-10,5.354660955243205e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,caffeic acid,Organic acids,0.6734148322640354,0.022010367159647604,2.3123597545364438e-9,1.0316466336465049e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,caffeic acid,Organic acids,0.4637500848701886,0.08959928418013033,1.1869321288225135e-8,9.12316593327927e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,caffeic acid,Organic acids,0.24311935733805926,0.005120433460992369,2.3854617981536265e-10,7.718609547939054e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,caffeic acid,Organic acids,0.4593112813738187,0.027164719621775323,2.913812453638147e-9,3.2289408168677877e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,choline,Amino acids,0.6322425894363076,0.0601997230535065,7.903546039084517e-9,2.5402675443374867e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,choline,Amino acids,0.4067393734823754,0.1366276932884864,3.215173016006325e-8,1.7332348277093876e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,choline,Amino acids,0.5074588903392319,0.10419228435692317,1.5632666737739602e-8,7.537380614188992e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,choline,Amino acids,0.6307055849876193,0.05952078780344988,7.457092088793658e-9,2.9269970700308546e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,choline,Amino acids,0.6308706163491253,0.0602239641823296,7.884186453317445e-9,2.824739070854763e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,choline,Amino acids,0.634548329703182,0.06909830829890518,9.437435855748304e-9,2.8229366326822897e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,choline,Amino acids,0.4718985426636434,0.09214873142809415,1.4092887118440727e-8,9.44789319090828e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,choline,Amino acids,0.6258637915356566,0.05877059060574766,7.422656679403515e-9,3.099909256740874e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,choline,Amino acids,0.49890088491202395,0.08378848078369278,1.2330966592790706e-8,6.033388246044501e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,choline,Amino acids,0.5596567609949802,0.06512685929821597,8.891200757829728e-9,3.479082334844618e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,choline,Amino acids,0.5571198800562038,0.04982008834935642,6.178670355648206e-9,3.2975779675531004e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,choline,Amino acids,0.6279953518278512,0.050293533147197034,6.2336474454751e-9,2.49612109922442e-9
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,choline,Amino acids,0.491533015513799,0.06145675350936064,8.377875838674008e-9,5.439037164896422e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,choline,Amino acids,0.4859171228989583,0.08425684846882003,1.3240690399811462e-8,6.637369549548804e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,choline,Amino acids,0.5189456883992433,0.08058385427714673,1.107135945651679e-8,5.57746785412719e-9
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,choline,Amino acids,0.4889027214894131,0.1024415836315557,1.5731925000285653e-8,8.1892950726578e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,choline,Amino acids,0.5497274391516769,0.12352634908167352,1.9511560163106426e-8,6.691739465688e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,choline,Amino acids,0.5631507128966393,0.06554980280099434,8.549262159856545e-9,3.2410613772593727e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,choline,Amino acids,0.628474227097668,0.057177186083490386,7.300968837160142e-9,2.4521138836202888e-9
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,choline,Amino acids,0.5904711019580414,0.060022062698677145,7.897969024517627e-9,3.4482551631812355e-9
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,choline,Amino acids,0.5892073736788418,0.0566895601755711,7.226877692721434e-9,3.3858645026509206e-9
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,choline,Amino acids,0.6272258344001154,0.05659221520108954,6.877048837317552e-9,3.2096502488457096e-9
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,choline,Amino acids,0.5529565853099361,0.14435963968326054,2.338519885306882e-8,7.587470512882785e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,choline,Amino acids,0.46241699008224063,0.056289023023288844,8.363217082731981e-9,5.513137743103115e-9
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,choline,Amino acids,0.4865188503918517,0.049467563142381675,6.199921741750266e-9,5.0823625692416465e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,choline,Amino acids,0.5118605813150535,0.06486699202693014,8.214627571396337e-9,5.9067620736147796e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,choline,Amino acids,0.42517328179685754,0.03636934414375412,4.314561838460161e-9,4.602692090504803e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,choline,Amino acids,0.5616110854274199,0.06418263339410213,8.430504094057525e-9,3.479253677645412e-9
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,choline,Amino acids,0.3397860813835406,0.0745615793061347,9.780864429665537e-9,1.5079478432788334e-8
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,choline,Amino acids,0.5479296662552036,0.19973442516843465,5.49899244494924e-8,1.2891357860550504e-8
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,choline,Amino acids,0.6227059035836566,0.048943741823178,6.018731787721188e-9,2.757081884895489e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,choline,Amino acids,0.4835924725825369,0.05753412011933459,7.51243440011418e-9,5.420625313770027e-9
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,choline,Amino acids,0.6246693665887519,0.045876344893247864,5.505890595119486e-9,2.4864652469420334e-9
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,choline,Amino acids,0.6263253062126262,0.052392401795966985,6.407440614524362e-9,2.8176540308243517e-9
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,choline,Amino acids,0.6104979217591326,0.024873604563993214,2.725063248621072e-9,1.445911673085171e-9
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,choline,Amino acids,0.6214761910184904,0.03572671672960721,4.1813913964798884e-9,1.5900922769322847e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,choline,Amino acids,0.5084643341667515,0.3676565335501205,7.000518218711194e-8,2.7039853368013593e-8
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,choline,Amino acids,0.41584652902459535,0.06416269118214413,8.516141746378032e-9,8.963701260596716e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,choline,Amino acids,0.42634907550896656,0.03569153071349179,4.097409235057903e-9,4.837200205630209e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,cis-aconitic acid,Organic acids,NaN,0.010683349678319921,NaN,3.9073329404873056e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,cis-aconitic acid,Organic acids,0.3257557409994208,0.043744839771459834,4.878088558837976e-9,9.216618225963494e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,cis-aconitic acid,Organic acids,0.22347777852524092,0.005185910448956748,1.6227525992365667e-10,6.227693581119364e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,cis-aconitic acid,Organic acids,0.5705165889222823,0.022676018295142014,2.290178751335772e-9,1.6868988442565728e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,cis-aconitic acid,Organic acids,0.5639356092870107,0.02032886685108852,2.00950862539135e-9,1.530176942507076e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,cis-aconitic acid,Organic acids,0.5697105934165554,0.022135782902848667,2.2312492567452942e-9,1.6439979428013206e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,cis-aconitic acid,Organic acids,0.4000292014294762,0.023340199317875995,2.287139281600903e-9,3.4033215279858216e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,cis-aconitic acid,Organic acids,0.5797520078506763,0.03181854482850338,3.3804486740129963e-9,2.3261764422690435e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,cis-aconitic acid,Organic acids,NaN,0.00941968780503662,NaN,8.223848338244549e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,cis-aconitic acid,Organic acids,NaN,0.005488037189574798,NaN,3.588906529297729e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,cis-aconitic acid,Organic acids,0.521256277364702,0.03630152829863142,4.2316477725758456e-9,3.1291647303309994e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,cis-aconitic acid,Organic acids,0.2840427866236006,0.009880177232559679,1.0925237279701826e-10,4.6022938881058463e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,cis-aconitic acid,Organic acids,0.45417788190368946,0.03908254121169784,4.6337155546898624e-9,4.61582311224847e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,cis-aconitic acid,Organic acids,0.3991627646388045,0.015752442381563085,1.4375579166863666e-9,2.154557122033249e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,cis-aconitic acid,Organic acids,0.34777189558165295,0.006454587959336617,4.105509454118589e-10,7.706594124325624e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,cis-aconitic acid,Organic acids,0.4034537660932951,0.017810971535002648,1.6517460000807847e-9,2.431870320014246e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,cis-aconitic acid,Organic acids,0.46339247356792035,0.01934863584851712,1.8464777001247691e-9,2.1061072330729468e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,cis-aconitic acid,Organic acids,0.5020620452303974,0.021133083176652405,2.1900683787863365e-9,2.0250422043693675e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,cis-aconitic acid,Organic acids,0.41768663778702086,0.005530130413204888,2.790620103278056e-10,3.9792316187423366e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,cis-aconitic acid,Organic acids,0.3926547656954064,0.005705484472604463,3.241418483109529e-10,5.070776171632148e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,cis-aconitic acid,Organic acids,0.2955756859039129,0.0053273357864032445,1.512772109174701e-10,4.135167588355441e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,cis-aconitic acid,Organic acids,NaN,0.006333475784851767,NaN,2.9336259644328126e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,cis-aconitic acid,Organic acids,0.4449853837150108,0.015187762064233334,1.3302456912665075e-9,1.657988118918952e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,cis-aconitic acid,Organic acids,NaN,0.008114370181881053,NaN,8.506717793120327e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,cis-aconitic acid,Organic acids,0.37564630554045153,0.009524855638690644,7.626170122535885e-10,1.267548076922239e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,cis-aconitic acid,Organic acids,0.3985598989922561,0.009726107697067901,7.792095864707852e-10,1.1758610956457207e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,cis-aconitic acid,Organic acids,0.316322473649655,0.0077643270439890335,5.788986952214265e-10,1.2513177593941474e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,cis-aconitic acid,Organic acids,NaN,0.005968137382798592,NaN,3.654292553447807e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,cis-aconitic acid,Organic acids,0.2640316042081505,0.01626624777023597,1.4157753453823918e-9,3.943633291341271e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,cis-aconitic acid,Organic acids,0.460340326023884,0.07707115258497071,9.039731036577085e-9,9.354008335977896e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,cis-aconitic acid,Organic acids,0.5697844176405406,0.027154019825957006,2.8736052346046308e-9,2.0663501743412595e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,cis-aconitic acid,Organic acids,0.3281001707391681,0.00657379414192673,4.500152001249781e-10,9.221727984704219e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,cis-aconitic acid,Organic acids,NaN,0.013661550914178438,NaN,5.161414851466937e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,cis-aconitic acid,Organic acids,NaN,0.008542475998617184,NaN,3.3652158737231654e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,cis-aconitic acid,Organic acids,0.5363337099460611,0.010982246589772324,9.375082469777073e-10,8.104872372214701e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,cis-aconitic acid,Organic acids,0.5760102968552356,0.021994772742492265,2.311979545314731e-9,1.5442021338421432e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,cis-aconitic acid,Organic acids,0.3998740355836285,0.08020050267352208,1.1857743071708646e-8,8.432214551361305e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,cis-aconitic acid,Organic acids,0.20181237371278837,0.005119552444705848,2.3842031754578663e-10,9.721437277566405e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,cis-aconitic acid,Organic acids,0.3948991341253328,0.027270738902908112,2.9104480644354703e-9,4.217722912563065e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,cytidine,Nucleotides,NaN,0.011913156290590884,NaN,4.303433004715756e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,cytidine,Nucleotides,0.3655647142255364,0.04079814352007942,4.512899540775118e-9,7.181802451940462e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,cytidine,Nucleotides,0.44513870171317743,0.010864508642006545,8.871496928339893e-10,1.105826470768091e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,cytidine,Nucleotides,NaN,0.012949766969172839,NaN,4.448456391226485e-10
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,cytidine,Nucleotides,NaN,0.014039801246870213,NaN,4.906994091976806e-10
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,cytidine,Nucleotides,NaN,0.002659135615949404,NaN,1.1297620283990414e-10
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,cytidine,Nucleotides,0.38711255054696153,0.009570606020258244,7.326789977464101e-10,1.1600103277542963e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,cytidine,Nucleotides,0.6382768683265936,0.01907145419612305,1.8131896382680365e-9,1.0231843397815258e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,cytidine,Nucleotides,0.43976714940485934,0.010536360084895037,8.432140526922875e-10,1.0741976870399295e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,cytidine,Nucleotides,0.4735809347144571,0.007123606687653591,4.849574521292734e-10,5.39445653089835e-10
