,BGE,BP,BR,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,class,phylum,mingt,rrn,genomesize,kM,alphaenz,gV0,kE,yEV,NSB,KD,yDE,monomer,ontology,eta
488,0.389414387,1.51E-10,4.50E-10,0.009398428,2.62E-05,3.22E-07,5.28E-09,8.98E-10,2.50E-09,3.44E-07,3.82E-08,3.82E-07,2.65E-09,1.63E-07,2.65E-09,0.010560738,positive,Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,5.01,4,6069513,8.51E-05,0.002789973,0.259778595,1.232718085,1.359773371,9.51E-10,0.001595598,0.1,biotin ,Organic acids,0.220132244
490,0.537365363,1.33E-09,1.14E-09,0.015194649,4.69E-05,0.000592882,4.93E-07,1.83E-06,3.57E-06,0.001768283,0.000196476,0.001964759,2.85E-06,0.000448093,2.85E-06,0.011495645,undefined,Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,1.82,6,4034872,3.58E-06,0.003085924,0.321573906,2.021099712,1.51268153,3.99E-09,0.00173782,0.1,biotin ,Organic acids,0.220132244
492,0.455737741,7.63E-10,9.11E-10,0.009526704,1.62E-05,9.96E-06,4.26E-08,1.69E-08,2.62E-08,2.01E-06,2.24E-07,2.24E-06,6.28E-08,3.34E-07,6.28E-08,0.012051517,positive,Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,4.36,8,7485871,0.000341132,0.001696574,0.264536854,1.339486862,1.643835616,2.77E-09,0.002002405,0.1,biotin ,Organic acids,0.220132244
493,0.484291817,7.79E-10,8.30E-10,0.009727354,1.35E-05,7.04E-06,1.35E-08,9.74E-09,1.68E-08,1.48E-06,1.64E-07,1.64E-06,4.31E-08,2.58E-07,4.31E-08,0.01085296,positive,Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,3.83,7,6657122,0.000142938,0.001384077,0.269708105,1.441204817,1.580239892,2.69E-09,0.001887976,0.1,biotin ,Organic acids,0.220132244
494,0.384440979,5.79E-10,9.27E-10,0.007764302,2.27E-05,1.67E-06,2.01E-10,4.88E-09,5.59E-09,2.86E-07,3.18E-08,3.18E-07,9.07E-09,5.00E-08,9.07E-09,0.013783078,undefined,Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,6.28,12,4684622,1.03E-05,0.002923702,0.253460556,1.066517473,1.872678994,2.52E-09,0.001667278,0.1,biotin ,Organic acids,0.220132244
496,0.31623166,1.42E-09,3.06E-09,0.016279626,0.000162796,0.000470106,3.22E-05,4.70E-06,3.33E-06,0.000894666,9.94E-05,0.000994074,1.46E-06,0.000354632,1.46E-06,0.01838622,negative,Paenibacillus sp. URHA0014,Bacilli,Firmicutes,1.43,23,7371174,0.000323379,0.01,0.352352262,2.190244495,2.41130031,6.93E-09,0.002910115,0.1,biotin ,Organic acids,0.220132244
497,0.546173139,9.07E-09,6.33E-09,0.074121628,0.000112983,0.000977213,4.20E-05,1.49E-06,2.31E-06,0.002573297,0.000285922,0.002859218,4.65E-06,0.001667397,4.65E-06,0.051809295,positive,Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,0.96,8,6208105,0.000110284,0.001524297,0.434182184,2.431609475,1.643835616,2.53E-08,0.006394301,0.1,biotin ,Organic acids,0.220132244
498,0.679844671,2.88E-09,1.32E-09,0.027565735,5.12E-05,0.000252408,0.000406011,4.69E-07,1.74E-06,0.001743094,0.000193677,0.001936771,4.49E-06,0.001314977,4.49E-06,0.037376739,positive,Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,7.05,3,8179139,0.000779474,0.001857236,0.250785955,0.985893885,1.268776278,6.52E-09,0.003272204,0.1,biotin ,Organic acids,0.220132244
499,0.402413919,4.50E-10,6.70E-10,0.006581209,1.38E-05,2.66E-06,1.18E-08,5.58E-09,7.92E-09,8.17E-07,9.08E-08,9.08E-07,1.76E-08,1.80E-07,1.76E-08,0.012154053,undefined,Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,7.49,9,6646877,0.000166234,0.002098048,0.249514533,0.945063193,1.704336196,1.97E-09,0.001823906,0.1,biotin ,Organic acids,0.220132244
502,0.65288687,9.37E-10,4.98E-10,0.010981516,4.47E-05,3.27E-07,6.66E-12,1.33E-09,4.96E-09,2.46E-07,2.73E-08,2.73E-07,7.43E-09,4.46E-08,7.43E-09,0.013282578,positive,Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,6.3,3,2934896,3.83E-07,0.004072804,0.253382415,1.064257172,1.268776278,2.43E-09,0.001556782,0.1,biotin ,Organic acids,0.220132244
503,0.68908971,2.31E-09,9.75E-10,0.022141082,4.55E-05,0.000404966,1.92E-07,8.33E-07,3.10E-06,0.00191925,0.00021325,0.0021325,4.83E-06,0.001871095,4.83E-06,0.028417281,positive,Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,6.78,3,2785891,2.60E-07,0.002055932,0.25165153,1.012740988,1.268776278,5.21E-09,0.001678389,0.1,biotin ,Organic acids,0.220132244
504,0.473927904,1.19E-08,8.53E-09,0.0857305,0.000150719,0.001274237,5.85E-08,2.24E-06,2.42E-06,0.002651178,0.000294575,0.002945753,5.47E-06,0.00232867,5.47E-06,0.067016861,undefined,Staphylococcus sp. URHA0057,Bacilli,Firmicutes,0.75,13,2549675,1.31E-07,0.001758056,0.518724026,2.553415178,1.925598275,3.88E-08,0.002981185,0.1,biotin ,Organic acids,0.220132244
505,0.249960716,2.38E-10,7.45E-10,0.00511977,2.88E-05,1.96E-06,5.41E-08,1.10E-08,1.13E-08,9.74E-07,1.08E-07,1.08E-06,8.18E-09,2.57E-07,8.18E-09,0.007711344,positive,Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,4.04,14,8015544,0.000569173,0.005623291,0.267484565,1.399116158,1.977331951,1.76E-09,0.001838651,0.1,biotin ,Organic acids,0.220132244
506,0.469606017,2.91E-09,3.14E-09,0.027411261,5.76E-05,0.000533944,5.93E-05,1.12E-06,1.29E-06,0.001239485,0.000137721,0.001377205,3.54E-06,0.00090684,3.54E-06,0.060824943,positive,Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,8.33,12,6632341,0.000163299,0.002102646,0.247473855,0.875808688,1.872678994,9.59E-09,0.003335223,0.1,biotin ,Organic acids,0.220132244
508,0.378302006,4.89E-09,7.18E-09,0.042976059,0.00014131,0.000798835,6.81E-06,2.63E-06,2.07E-06,0.001446714,0.000195206,0.00164192,2.39E-06,0.000809883,2.39E-06,0.044426673,negative,Bacillus sp. URHB0009,Bacilli,Firmicutes,1.31,20,5377210,3.11E-05,0.00328811,0.366392402,2.247728614,2.270981174,2.16E-08,0.003713771,0.118888889,caffeic acid,Organic acids,0.074044623
509,0.277680911,1.62E-10,4.81E-10,0.005186038,1.20E-05,2.78E-07,6.03E-10,6.41E-10,9.95E-10,1.95E-07,2.63E-08,2.21E-07,1.22E-09,7.84E-08,1.22E-09,0.005066873,undefined,Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,2.78,8,5177578,2.23E-05,0.002308658,0.286429607,1.695966091,1.643835616,1.41E-09,0.00141416,0.118888889,caffeic acid,Organic acids,0.074044623
510,0.667047113,2.29E-09,1.12E-09,0.022721691,3.33E-05,0.000335382,0.000136749,4.91E-07,1.83E-06,0.001775321,0.000239545,0.002014866,4.20E-06,0.001468254,4.20E-06,0.027313183,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,6.09,3,6972827,0.000238226,0.001464266,0.254229781,1.088478186,1.268776278,5.91E-09,0.00241164,0.118888889,caffeic acid,Organic acids,0.074044623
511,0.660377692,2.01E-09,1.02E-09,0.02041135,3.89E-05,0.00030906,0.000164589,5.88E-07,2.19E-06,0.001686966,0.000227623,0.001914589,3.86E-06,0.001409531,3.86E-06,0.023598411,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,5.73,3,7193102,0.000300641,0.001904107,0.255834623,1.132663739,1.268776278,5.27E-09,0.002344283,0.118888889,caffeic acid,Organic acids,0.074044623
512,0.666417484,2.23E-09,1.10E-09,0.022224648,3.75E-05,0.000340429,0.000106741,5.74E-07,2.14E-06,0.001763615,0.000237966,0.002001581,3.88E-06,0.001407704,3.88E-06,0.024407203,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,5.32,3,6793945,0.000196846,0.00168609,0.257942124,1.187556721,1.268776278,5.76E-09,0.002339295,0.118888889,caffeic acid,Organic acids,0.074044623
513,0.466773537,2.29E-09,2.58E-09,0.023256236,4.16E-05,0.000490062,8.88E-05,8.76E-07,1.15E-06,0.001254099,0.000169216,0.001423315,2.08E-06,0.000813348,2.08E-06,0.023267783,positive,Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,2.43,10,7244804,0.00032562,0.0017874,0.295626127,1.801882877,1.762357889,8.29E-09,0.003022495,0.118888889,caffeic acid,Organic acids,0.074044623
514,0.676455251,3.38E-09,1.54E-09,0.031909199,0.00023097,0.000421499,3.13E-05,3.05E-06,1.14E-05,0.002046927,0.000276193,0.002323121,3.54E-06,0.001775855,3.54E-06,0.025040481,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,2.9,3,5642219,5.03E-05,0.007238338,0.283840831,1.662426368,1.268776278,8.47E-09,0.002442432,0.118888889,caffeic acid,Organic acids,0.074044623
517,0.606014284,4.24E-09,2.22E-09,0.036207579,7.72E-05,0.000496738,9.94E-06,1.06E-06,2.41E-06,0.001644506,0.000221894,0.0018664,3.94E-06,0.001462346,3.94E-06,0.050503065,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,6.24,5,4904121,1.73E-05,0.002132716,0.253618415,1.071066953,1.439874503,1.19E-08,0.002546542,0.118888889,caffeic acid,Organic acids,0.074044623
518,0.371718613,1.09E-10,3.70E-10,0.009880278,2.43E-05,2.10E-07,5.53E-09,5.17E-10,1.92E-09,3.02E-07,4.07E-08,3.43E-07,2.40E-09,1.68E-07,2.40E-09,0.011753129,positive,Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,6.09,3,6067264,8.46E-05,0.002462653,0.254229781,1.088478186,1.268776278,9.00E-10,0.001410134,0.118888889,caffeic acid,Organic acids,0.074044623
519,0.527835496,4.64E-09,3.56E-09,0.039686975,0.000285364,0.000597558,1.33E-05,4.30E-06,6.67E-06,0.001556825,0.000210063,0.001766888,2.80E-06,0.001241871,2.80E-06,0.043459641,undefined,Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,3.33,8,5264264,2.98E-05,0.007190364,0.276235383,1.552321204,1.643835616,1.48E-08,0.003084661,0.118888889,caffeic acid,Organic acids,0.074044623
520,0.468151694,1.44E-09,1.63E-09,0.015774715,6.08E-05,0.00053864,8.57E-06,2.07E-06,2.95E-06,0.001322056,0.000178386,0.001500442,2.25E-06,0.001024174,2.25E-06,0.015913861,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,2.72,9,5236918,2.43E-05,0.003851715,0.287819287,1.713242229,1.704336196,5.33E-09,0.001820316,0.118888889,caffeic acid,Organic acids,0.074044623
521,0.41913824,4.11E-10,5.70E-10,0.00645512,1.67E-05,7.69E-07,2.28E-10,1.99E-09,3.44E-09,2.16E-07,2.91E-08,2.45E-07,3.91E-09,5.80E-08,3.91E-09,0.006899648,negative,Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,3.6,7,4705879,1.08E-05,0.002592987,0.272466395,1.49028861,1.580239892,2.00E-09,0.001442641,0.118888889,caffeic acid,Organic acids,0.074044623
522,0.472633614,1.65E-09,1.84E-09,0.017830026,5.32E-05,0.000552644,6.77E-06,1.65E-06,2.34E-06,0.00135242,0.000182483,0.001534903,2.22E-06,0.001034601,2.22E-06,0.016511076,negative,Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,2.24,9,5093035,1.99E-05,0.002982621,0.301987954,1.865010579,1.704336196,6.02E-09,0.00186945,0.118888889,caffeic acid,Organic acids,0.074044623
523,0.543076182,1.85E-09,1.54E-09,0.019430545,7.10E-05,0.000554591,3.84E-06,2.03E-06,3.95E-06,0.00164933,0.000222545,0.001871875,2.70E-06,0.00131544,2.70E-06,0.016018494,undefined,Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,2.25,6,4567713,8.87E-06,0.003652758,0.301622692,1.861580257,1.51268153,5.87E-09,0.001758367,0.118888889,caffeic acid,Organic acids,0.074044623
524,0.586584954,2.19E-09,1.46E-09,0.021242065,4.27E-05,0.000497287,4.43E-07,9.99E-07,2.27E-06,0.001633816,0.000220452,0.001854268,3.57E-06,0.001494395,3.57E-06,0.026088084,undefined,Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,5.26,5,3223982,7.71E-07,0.002008287,0.258279697,1.196038209,1.439874503,6.38E-09,0.001615885,0.118888889,caffeic acid,Organic acids,0.074044623
525,0.519855724,2.79E-10,2.67E-10,0.00553038,1.51E-05,2.49E-07,3.52E-10,6.81E-10,2.53E-09,1.80E-07,2.42E-08,2.04E-07,2.29E-09,7.31E-08,2.29E-09,0.004945306,undefined,Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,3.88,3,4829548,1.31E-05,0.002732841,0.269155142,1.430956861,1.268776278,1.30E-09,0.001387975,0.118888889,caffeic acid,Organic acids,0.074044623
526,0.48087859,3.24E-10,3.56E-10,0.005706163,1.37E-05,1.15E-06,8.13E-09,2.76E-09,7.67E-09,5.54E-07,7.47E-08,6.29E-07,9.15E-09,1.90E-07,9.15E-09,0.006185655,positive,Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,4.7,4,6306952,0.000113467,0.002408548,0.261873106,1.281439027,1.359773371,1.51E-09,0.001519384,0.118888889,caffeic acid,Organic acids,0.074044623
527,0.375338893,1.51E-10,4.65E-10,0.009399019,2.62E-05,3.22E-07,5.28E-09,8.99E-10,2.50E-09,3.44E-07,4.64E-08,3.90E-07,2.65E-09,1.63E-07,2.65E-09,0.010561402,positive,Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,5.01,4,6069513,8.51E-05,0.002789973,0.259778595,1.232718085,1.359773371,1.08E-09,0.001438305,0.118888889,caffeic acid,Organic acids,0.074044623
529,0.524461718,1.33E-09,1.21E-09,0.015190675,4.69E-05,0.000577095,8.67E-07,1.78E-06,3.47E-06,0.001721199,0.000232243,0.001953442,2.77E-06,0.000786716,2.77E-06,0.011492616,undefined,Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,1.82,6,4034872,3.58E-06,0.003085924,0.321573906,2.021099712,1.51268153,4.53E-09,0.001581811,0.118888889,caffeic acid,Organic acids,0.074044623
531,0.444515061,7.63E-10,9.53E-10,0.00952789,1.62E-05,9.96E-06,4.25E-08,1.69E-08,2.62E-08,2.01E-06,2.72E-07,2.29E-06,6.21E-08,3.34E-07,6.21E-08,0.012052996,positive,Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,4.36,8,7485871,0.000341132,0.001696574,0.264536854,1.339486862,1.643835616,3.15E-09,0.001848786,0.118888889,caffeic acid,Organic acids,0.074044623
532,0.472259415,7.79E-10,8.71E-10,0.009728559,1.35E-05,7.01E-06,1.35E-08,9.70E-09,1.67E-08,1.48E-06,2.00E-07,1.68E-06,4.29E-08,2.58E-07,4.29E-08,0.010854301,positive,Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,3.83,7,6657122,0.000142938,0.001384077,0.269708105,1.441204817,1.580239892,3.05E-09,0.001733323,0.118888889,caffeic acid,Organic acids,0.074044623
533,0.374881762,5.79E-10,9.66E-10,0.007765267,2.27E-05,1.65E-06,2.01E-10,4.84E-09,5.54E-09,2.86E-07,3.87E-08,3.25E-07,9.00E-09,5.00E-08,9.00E-09,0.013784803,undefined,Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,6.28,12,4684622,1.03E-05,0.002923702,0.253460556,1.066517473,1.872678994,2.86E-09,0.001510633,0.118888889,caffeic acid,Organic acids,0.074044623
535,0.309002041,1.42E-09,3.17E-09,0.016274894,0.000162749,0.000480918,4.21E-05,4.81E-06,3.41E-06,0.000881742,0.000118974,0.001000716,1.44E-06,0.000464087,1.44E-06,0.018380879,negative,Paenibacillus sp. URHA0014,Bacilli,Firmicutes,1.43,23,7371174,0.000323379,0.01,0.352352262,2.190244495,2.41130031,7.86E-09,0.002764693,0.118888889,caffeic acid,Organic acids,0.074044623
536,0.534372952,9.07E-09,6.80E-09,0.075760553,0.000115482,0.000932588,3.91E-05,1.42E-06,2.21E-06,0.002457239,0.000331557,0.002788796,4.44E-06,0.001553526,4.44E-06,0.05299179,positive,Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,0.96,8,6208105,0.000110284,0.001524297,0.434182184,2.431609475,1.643835616,2.87E-08,0.006280346,0.118888889,caffeic acid,Organic acids,0.074044623
537,0.664636886,2.88E-09,1.37E-09,0.026895143,5.00E-05,0.000236677,0.000400965,4.40E-07,1.64E-06,0.001681895,0.000226939,0.001908834,4.33E-06,0.001298719,4.33E-06,0.036461747,positive,Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,7.05,3,8179139,0.000779474,0.001857236,0.250785955,0.985893885,1.268776278,7.40E-09,0.003130053,0.118888889,caffeic acid,Organic acids,0.074044623
538,0.391908966,4.50E-10,7.00E-10,0.006582031,1.38E-05,2.64E-06,1.18E-08,5.53E-09,7.86E-09,8.17E-07,1.10E-07,9.27E-07,1.75E-08,1.80E-07,1.75E-08,0.012155558,undefined,Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,7.49,9,6646877,0.000166234,0.002098048,0.249514533,0.945063193,1.704336196,2.23E-09,0.001668675,0.118888889,caffeic acid,Organic acids,0.074044623
541,0.636490925,9.38E-10,5.35E-10,0.010982886,4.47E-05,3.25E-07,6.65E-12,1.32E-09,4.93E-09,2.45E-07,3.31E-08,2.79E-07,7.38E-09,4.45E-08,7.38E-09,0.013284253,positive,Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,6.3,3,2934896,3.83E-07,0.004072804,0.253382415,1.064257172,1.268776278,2.75E-09,0.001399138,0.118888889,caffeic acid,Organic acids,0.074044623
542,0.673414832,2.31E-09,1.03E-09,0.022010492,4.53E-05,0.000387675,1.90E-07,7.97E-07,2.97E-06,0.001837236,0.000247899,0.002085136,4.62E-06,0.001848503,4.62E-06,0.02824589,positive,Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,6.78,3,2785891,2.60E-07,0.002055932,0.25165153,1.012740988,1.268776278,5.91E-09,0.001521844,0.118888889,caffeic acid,Organic acids,0.074044623
543,0.463750085,1.19E-08,9.12E-09,0.089606183,0.000157533,0.001222849,5.76E-08,2.15E-06,2.32E-06,0.002540019,0.000342726,0.002882745,5.24E-06,0.002293576,5.24E-06,0.070157239,undefined,Staphylococcus sp. URHA0057,Bacilli,Firmicutes,0.75,13,2549675,1.31E-07,0.001758056,0.518724026,2.553415178,1.925598275,4.40E-08,0.002836405,0.118888889,caffeic acid,Organic acids,0.074044623
544,0.243119357,2.39E-10,7.72E-10,0.005120434,2.88E-05,1.94E-06,5.41E-08,1.09E-08,1.12E-08,9.74E-07,1.31E-07,1.11E-06,8.12E-09,2.57E-07,8.12E-09,0.007712294,positive,Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,4.04,14,8015544,0.000569173,0.005623291,0.267484565,1.399116158,1.977331951,2.00E-09,0.001683553,0.118888889,caffeic acid,Organic acids,0.074044623
545,0.459311281,2.91E-09,3.23E-09,0.027164715,5.71E-05,0.000511458,5.95E-05,1.08E-06,1.23E-06,0.001189232,0.000160464,0.001349695,3.40E-06,0.000908924,3.40E-06,0.060262315,positive,Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,8.33,12,6632341,0.000163299,0.002102646,0.247473855,0.875808688,1.872678994,1.09E-08,0.003193641,0.118888889,caffeic acid,Organic acids,0.074044623
586,0.325755741,4.88E-09,9.22E-09,0.043744791,0.000143838,0.000582124,5.22E-06,1.91E-06,1.51E-06,0.001055726,0.000329337,0.001385064,1.74E-06,0.000621254,1.74E-06,0.045236874,negative,Bacillus sp. URHB0009,Bacilli,Firmicutes,1.31,20,5377210,3.11E-05,0.00328811,0.366392402,2.247728614,2.270981174,3.75E-08,0.005433453,0.237777778,cis-aconitic acid,Organic acids,0.163794081
587,0.223477779,1.62E-10,6.23E-10,0.005185911,1.20E-05,2.62E-07,6.03E-10,6.04E-10,9.38E-10,1.95E-07,6.09E-08,2.56E-07,1.15E-09,7.84E-08,1.15E-09,0.005066748,undefined,Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,2.78,8,5177578,2.23E-05,0.002308658,0.286429607,1.695966091,1.643835616,2.44E-09,0.001498231,0.237777778,cis-aconitic acid,Organic acids,0.163794081
588,0.570516589,2.29E-09,1.69E-09,0.02267607,3.32E-05,0.000233231,0.000102472,3.42E-07,1.27E-06,0.001257271,0.00039221,0.001649481,2.97E-06,0.001101846,2.97E-06,0.027257647,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,6.09,3,6972827,0.000238226,0.001464266,0.254229781,1.088478186,1.268776278,1.02E-08,0.003205175,0.237777778,cis-aconitic acid,Organic acids,0.163794081
589,0.563935609,2.01E-09,1.53E-09,0.020328867,3.87E-05,0.000219136,0.000115814,4.17E-07,1.55E-06,0.001224749,0.000382065,0.001606814,2.80E-06,0.000993434,2.80E-06,0.023502417,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,5.73,3,7193102,0.000300641,0.001904107,0.255834623,1.132663739,1.268776278,9.14E-09,0.00308991,0.237777778,cis-aconitic acid,Organic acids,0.163794081
590,0.569710593,2.23E-09,1.64E-09,0.022135783,3.73E-05,0.000234973,7.86E-05,3.96E-07,1.47E-06,0.001199126,0.000374072,0.001573198,2.64E-06,0.001037436,2.64E-06,0.02430847,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,5.32,3,6793945,0.000196846,0.00168609,0.257942124,1.187556721,1.268776278,9.99E-09,0.003081374,0.237777778,cis-aconitic acid,Organic acids,0.163794081
591,0.400029201,2.29E-09,3.40E-09,0.023340199,4.17E-05,0.000338377,5.95E-05,6.05E-07,7.93E-07,0.000914901,0.000285406,0.001200308,1.52E-06,0.000545989,1.52E-06,0.023352223,positive,Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,2.43,10,7244804,0.00032562,0.0017874,0.295626127,1.801882877,1.762357889,1.44E-08,0.004250504,0.237777778,cis-aconitic acid,Organic acids,0.163794081
592,0.579752008,3.38E-09,2.33E-09,0.031818589,0.000230314,0.000301407,2.28E-05,2.18E-06,8.12E-06,0.001466091,0.000457352,0.001923443,2.53E-06,0.001296763,2.53E-06,0.024968158,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,2.9,3,5642219,5.03E-05,0.007238338,0.283840831,1.662426368,1.268776278,1.47E-08,0.003257867,0.237777778,cis-aconitic acid,Organic acids,0.163794081
595,0.521256277,4.23E-09,3.13E-09,0.036301364,7.74E-05,0.000370384,8.31E-06,7.90E-07,1.80E-06,0.001227423,0.000382899,0.001610321,2.94E-06,0.001222728,2.94E-06,0.050637782,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,6.24,5,4904121,1.73E-05,0.002132716,0.253618415,1.071066953,1.439874503,2.06E-08,0.003436026,0.237777778,cis-aconitic acid,Organic acids,0.163794081
596,0.284042787,1.09E-10,4.60E-10,0.00988018,2.43E-05,2.10E-07,5.53E-09,5.17E-10,1.92E-09,3.02E-07,9.42E-08,3.96E-07,2.40E-09,1.68E-07,2.40E-09,0.011753013,positive,Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,6.09,3,6067264,8.46E-05,0.002462653,0.254229781,1.088478186,1.268776278,1.56E-09,0.001491341,0.237777778,cis-aconitic acid,Organic acids,0.163794081
597,0.454177882,4.63E-09,4.62E-09,0.039082631,0.000281018,0.000444068,1.06E-05,3.19E-06,4.96E-06,0.001158971,0.000361545,0.001520516,2.09E-06,0.000992775,2.09E-06,0.042780576,undefined,Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,3.33,8,5264264,2.98E-05,0.007190364,0.276235383,1.552321204,1.643835616,2.56E-08,0.004356885,0.237777778,cis-aconitic acid,Organic acids,0.163794081
598,0.399162765,1.44E-09,2.15E-09,0.015752443,6.07E-05,0.000395722,6.95E-06,1.52E-06,2.16E-06,0.000972597,0.000303405,0.001276002,1.65E-06,0.00083084,1.65E-06,0.015891204,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,2.72,9,5236918,2.43E-05,0.003851715,0.287819287,1.713242229,1.704336196,9.24E-09,0.002193268,0.237777778,cis-aconitic acid,Organic acids,0.163794081
599,0.347771896,4.11E-10,7.71E-10,0.006454588,1.67E-05,7.20E-07,2.28E-10,1.87E-09,3.22E-09,2.16E-07,6.73E-08,2.83E-07,3.66E-09,5.80E-08,3.66E-09,0.006899077,negative,Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,3.6,7,4705879,1.08E-05,0.002592987,0.272466395,1.49028861,1.580239892,3.47E-09,0.00154697,0.237777778,cis-aconitic acid,Organic acids,0.163794081
600,0.403453766,1.65E-09,2.43E-09,0.017810971,5.31E-05,0.00040033,5.45E-06,1.19E-06,1.70E-06,0.000981165,0.000306078,0.001287243,1.61E-06,0.000832461,1.61E-06,0.016493273,negative,Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,2.24,9,5093035,1.99E-05,0.002982621,0.301987954,1.865010579,1.704336196,1.04E-08,0.002277348,0.237777778,cis-aconitic acid,Organic acids,0.163794081
601,0.463392474,1.85E-09,2.11E-09,0.019348624,7.07E-05,0.000400851,3.08E-06,1.46E-06,2.86E-06,0.001192571,0.000372026,0.001564597,1.96E-06,0.001055203,1.96E-06,0.015950282,undefined,Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,2.25,6,4567713,8.87E-06,0.003652758,0.301622692,1.861580257,1.51268153,1.02E-08,0.002087257,0.237777778,cis-aconitic acid,Organic acids,0.163794081
602,0.502062045,2.19E-09,2.03E-09,0.021133087,4.24E-05,0.000365743,3.63E-07,7.35E-07,1.67E-06,0.001201478,0.000374805,0.001576283,2.63E-06,0.001224718,2.63E-06,0.025951797,undefined,Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,5.26,5,3223982,7.71E-07,0.002008287,0.258279697,1.196038209,1.439874503,1.11E-08,0.001843434,0.237777778,cis-aconitic acid,Organic acids,0.163794081
603,0.417686638,2.79E-10,3.98E-10,0.00553013,1.51E-05,2.42E-07,3.52E-10,6.62E-10,2.46E-09,1.80E-07,5.60E-08,2.36E-07,2.23E-09,7.31E-08,2.23E-09,0.004945081,undefined,Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,3.88,3,4829548,1.31E-05,0.002732841,0.269155142,1.430956861,1.268776278,2.26E-09,0.001453423,0.237777778,cis-aconitic acid,Organic acids,0.163794081
604,0.392654766,3.24E-10,5.07E-10,0.005705484,1.37E-05,1.08E-06,8.13E-09,2.59E-09,7.20E-09,5.54E-07,1.73E-07,7.26E-07,8.59E-09,1.90E-07,8.59E-09,0.006184926,positive,Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,4.7,4,6306952,0.000113467,0.002408548,0.261873106,1.281439027,1.359773371,2.61E-09,0.001678296,0.237777778,cis-aconitic acid,Organic acids,0.163794081
