isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,biotin ,Organic acids,0.48378583132985403,0.017824804239213912,1.6522268672102289e-9,1.7564615401912034e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,biotin ,Organic acids,0.5559309052801087,0.019411846404418755,1.846796526381797e-9,1.4583583637827168e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,biotin ,Organic acids,0.6001748405754287,0.021434576225445312,2.1901677489419237e-9,1.3975494118592432e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,biotin ,Organic acids,0.5375108638733839,0.005529720159695393,2.790191421262356e-10,2.489867445345178e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,biotin ,Organic acids,0.49583368971570696,0.005705455917304688,3.2414304048950075e-10,3.353211899778537e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,biotin ,Organic acids,0.38941438673646034,0.009398428459667967,1.5125512281854326e-10,4.501638708258163e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,biotin ,Organic acids,NaN,0.006333232729830702,NaN,2.456234184046586e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,biotin ,Organic acids,0.5373653628192293,0.015194649080260266,1.3303664139680385e-9,1.1449660995760985e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,biotin ,Organic acids,NaN,0.008112795571705203,NaN,7.645789885813538e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,biotin ,Organic acids,0.4557377405029358,0.009526704197208776,7.628311740421039e-10,9.110111028662672e-10
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,biotin ,Organic acids,0.48429181668623256,0.00972735442824143,7.793500386300885e-10,8.299092848372041e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,biotin ,Organic acids,0.38444097866601085,0.007764301873616618,5.788965535975676e-10,9.270427487774976e-10
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,biotin ,Organic acids,NaN,0.0059679414907849735,NaN,3.182701233852213e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,biotin ,Organic acids,0.3162316595029509,0.016279625935793615,1.417200000662689e-9,3.062319682224365e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,biotin ,Organic acids,0.546173138718522,0.0741216284043729,9.068143953784893e-9,6.327401478011072e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,biotin ,Organic acids,0.6798446706771233,0.02756573524056388,2.876759862755668e-9,1.3159062971538154e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,biotin ,Organic acids,0.4024139186649806,0.006581209349688578,4.500802853099838e-10,6.695053647491093e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,biotin ,Organic acids,NaN,0.013661295989291517,NaN,4.537215034872948e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,biotin ,Organic acids,NaN,0.008542040865134897,NaN,2.9226344410979125e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,biotin ,Organic acids,0.6528868704479502,0.010981515833490864,9.374270386763681e-10,4.983924096061858e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,biotin ,Organic acids,0.6890897098123916,0.022141082314634374,2.3120245296535145e-9,9.748306434637342e-10
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,biotin ,Organic acids,0.4739279038258804,0.08573050012697837,1.1867828245629578e-8,8.534459811655997e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,biotin ,Organic acids,0.2499607159244076,0.005119770271468443,2.3847557327585267e-10,7.448015339653083e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,biotin ,Organic acids,0.46960601742153846,0.027411260820002135,2.913462690025618e-9,3.138616853530239e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,caffeic acid,Organic acids,NaN,0.010683293675618067,NaN,3.591691405838878e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,caffeic acid,Organic acids,0.37830200568689865,0.04297605893236106,4.885351530386685e-9,7.179099206687749e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,caffeic acid,Organic acids,0.27768091104571735,0.0051860384568400576,1.6230787138428076e-10,4.812155113945623e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,caffeic acid,Organic acids,0.6670471132980543,0.022721691031314883,2.291789837789205e-9,1.121813875470862e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,caffeic acid,Organic acids,0.6603776924686204,0.020411349853859742,2.0110878997613647e-9,1.0225943341558455e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,caffeic acid,Organic acids,0.6664174838604995,0.022224647990874927,2.2327879960160296e-9,1.0954376916799775e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,caffeic acid,Organic acids,0.4667735367507288,0.02325623618870466,2.289758835215772e-9,2.5835414321968634e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,caffeic acid,Organic acids,0.6764552514208635,0.03190919916989979,3.3830028264801016e-9,1.5435064322054246e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,caffeic acid,Organic acids,NaN,0.009418811901172148,NaN,7.366949744172062e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,caffeic acid,Organic acids,NaN,0.005487816742941946,NaN,3.081316042480883e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,caffeic acid,Organic acids,0.6060142836897243,0.03620757887729639,4.235156988776525e-9,2.2231038045928557e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,caffeic acid,Organic acids,0.37171861283749963,0.009880278485761665,1.0927845088675501e-10,3.702178489552617e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,caffeic acid,Organic acids,0.527835496333624,0.03968697456860271,4.638705215812351e-9,3.5569684249555344e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,caffeic acid,Organic acids,0.468151694436423,0.01577471546293422,1.4381622623090774e-9,1.628580929639953e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,caffeic acid,Organic acids,0.4191382401590008,0.006455120108593419,4.106106620291581e-10,5.697382651683648e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,caffeic acid,Organic acids,0.47263361417963234,0.017830025905048855,1.6524877783454469e-9,1.837318590345219e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,caffeic acid,Organic acids,0.5430761815587707,0.019430545483637884,1.8470888836545475e-9,1.5375797623335796e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,caffeic acid,Organic acids,0.5865849541562133,0.021242064757604696,2.1905821977880847e-9,1.4571694849800587e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,caffeic acid,Organic acids,0.519855724208106,0.005530380458562096,2.790924287390348e-10,2.666790539679873e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,caffeic acid,Organic acids,0.48087859022671464,0.005706162599351667,3.242213299818649e-10,3.5573349785977537e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,caffeic acid,Organic acids,0.3753388927912717,0.00939901931419174,1.5131162069366833e-10,4.6473925121456853e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,caffeic acid,Organic acids,NaN,0.006333452909830226,NaN,2.5129409360768454e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,caffeic acid,Organic acids,0.5244617184375523,0.015190674927141093,1.3305809926654775e-9,1.2055848793794875e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,caffeic acid,Organic acids,NaN,0.008113233239340281,NaN,7.748167002822328e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,caffeic acid,Organic acids,0.4445150612910428,0.009527890108913957,7.62964520971498e-10,9.534357289172067e-10
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,caffeic acid,Organic acids,0.4722594147272277,0.009728559194762634,7.794843012599773e-10,8.710604919116685e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,caffeic acid,Organic acids,0.3748817619898685,0.007765267198740695,5.79004116034755e-10,9.656191558066362e-10
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,caffeic acid,Organic acids,NaN,0.005968126651734928,NaN,3.238739148014226e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,caffeic acid,Organic acids,0.3090020407522701,0.01627489443600226,1.4173583583190498e-9,3.166319689456585e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,caffeic acid,Organic acids,0.5343729522755867,0.07576055284940633,9.069010587954708e-9,6.798872327504643e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,caffeic acid,Organic acids,0.6646368860708354,0.026895142803522603,2.8776395364406236e-9,1.3655319271144702e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,caffeic acid,Organic acids,0.39190896585649704,0.00658203051904862,4.501716990255379e-10,6.996260304549243e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,caffeic acid,Organic acids,NaN,0.013661579533777066,NaN,4.611359837033556e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,caffeic acid,Organic acids,NaN,0.008542266147909847,NaN,2.975203874579558e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,caffeic acid,Organic acids,0.6364909252544537,0.010982886167914709,9.375796355964488e-10,5.354660955243285e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,caffeic acid,Organic acids,0.6734148322640989,0.022010492188434594,2.3123597544715514e-9,1.031658344324004e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,caffeic acid,Organic acids,0.46375008487637626,0.08960618281359059,1.1869321291392559e-8,9.124306755926228e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,caffeic acid,Organic acids,0.24311935733805,0.005120433539366637,2.385461798153433e-10,7.718609632207425e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,caffeic acid,Organic acids,0.4593112813734699,0.02716471543697575,2.913812453644638e-9,3.2289401944214157e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,choline,Amino acids,0.6322425893762115,0.06019968453792479,7.903546032764075e-9,2.540261133642228e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,choline,Amino acids,0.40673937330869103,0.13662775638270724,3.215173010134314e-8,1.7332355995599155e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,choline,Amino acids,0.5074588904205422,0.10419225660356582,1.5632666761317453e-8,7.53737689952434e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,choline,Amino acids,0.6307055848290443,0.059520772851664384,7.457092102836802e-9,2.9269954517781295e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,choline,Amino acids,0.6308706163224956,0.06022397019439907,7.884186446122737e-9,2.8247400705468375e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,choline,Amino acids,0.6345483296203263,0.06909827896235692,9.437435848148033e-9,2.822932484527304e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,choline,Amino acids,0.4718985431349172,0.09214871330134494,1.4092887101196048e-8,9.44788993142698e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,choline,Amino acids,0.6258637915514187,0.058770588893685506,7.422656685806161e-9,3.0999089784055146e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,choline,Amino acids,0.4989008848916854,0.08378845657315798,1.2330966595433565e-8,6.0333850582093354e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,choline,Amino acids,0.5596567609949434,0.06512686735362816,8.891200762248775e-9,3.479083451385517e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,choline,Amino acids,0.5571198800977648,0.049820040714157535,6.178670359371546e-9,3.297566656025776e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,choline,Amino acids,0.6279953518220383,0.05029354479644034,6.233647445816143e-9,2.496123433232388e-9
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,choline,Amino acids,0.4915330155024086,0.06145686586833882,8.37787583972721e-9,5.43906155141465e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,choline,Amino acids,0.4859171228544046,0.08425688052372832,1.3240690407296151e-8,6.637373570736608e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,choline,Amino acids,0.5189456883968505,0.0805838574054825,1.1071359457573937e-8,5.577468423201324e-9
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,choline,Amino acids,0.4889027214793367,0.10244159282389699,1.573192499609107e-8,8.189296395870628e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,choline,Amino acids,0.5497274390965385,0.12352633647956865,1.9511560158152137e-8,6.691738540299557e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,choline,Amino acids,0.5631507129072352,0.06554980168487373,8.549262162310862e-9,3.2410612817837164e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,choline,Amino acids,0.6284742271081386,0.05717743961153933,7.300968840642795e-9,2.4521621905741824e-9
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,choline,Amino acids,0.5904711019381979,0.060022058014858756,7.897969024353197e-9,3.4482543713573217e-9
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,choline,Amino acids,0.5892073736876534,0.05668951789762816,7.226877693207096e-9,3.3858565728092426e-9
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,choline,Amino acids,0.6272258344861965,0.056592178544462565,6.877048834077372e-9,3.2096444638014914e-9
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,choline,Amino acids,0.5529565853639127,0.1443596451313884,2.338519885051551e-8,7.587470822133775e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,choline,Amino acids,0.4624169900798912,0.056289026190423974,8.363217082900269e-9,5.513138332558524e-9
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,choline,Amino acids,0.4865188504077942,0.04946754966042937,6.199921742331825e-9,5.082359777161752e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,choline,Amino acids,0.5118605813083004,0.06486699468742166,8.214627572925842e-9,5.90676265064356e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,choline,Amino acids,0.4251732818037932,0.036369378649572216,4.314561838639684e-9,4.602703871910417e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,choline,Amino acids,0.5616110854323182,0.06418198338307558,8.430504095597467e-9,3.479139257517401e-9
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,choline,Amino acids,0.3397860813431678,0.07456156994585299,9.780864439809222e-9,1.5079475970331928e-8
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,choline,Amino acids,0.5479296657396057,0.199734396933545,5.498992417913564e-8,1.2891356121313444e-8
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,choline,Amino acids,0.6227059034240326,0.0489437407663982,6.018731779954343e-9,2.757081714593718e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,choline,Amino acids,0.4835924726057041,0.05753414159938813,7.512434385962187e-9,5.420630677227007e-9
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,choline,Amino acids,0.624669366587765,0.04587596883842261,5.5058905937741206e-9,2.4863928005691158e-9
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,choline,Amino acids,0.626325306226964,0.052392395675411256,6.407440616308475e-9,2.8176529018982345e-9
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,choline,Amino acids,0.6104979217591235,0.02487360323809673,2.725063248640609e-9,1.4459113794298864e-9
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,choline,Amino acids,0.6214761910184579,0.03567221907432866,4.1813913961208896e-9,1.5738274830778562e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,choline,Amino acids,0.5084643341653511,0.3676565651912371,7.000518218699264e-8,2.7039854323549264e-8
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,choline,Amino acids,0.41584652919884996,0.06416267484082122,8.516141737233928e-9,8.963697337661703e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,choline,Amino acids,0.4263490755167691,0.0356915742836105,4.097409235424389e-9,4.8372108137168606e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,cis-aconitic acid,Organic acids,NaN,0.010683353226894152,NaN,3.90733396957794e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,cis-aconitic acid,Organic acids,0.3257557409983219,0.043744791487864684,4.878088559246029e-9,9.21660563212343e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,cis-aconitic acid,Organic acids,0.22347777852475645,0.005185910694516999,1.6227525992330344e-10,6.227693755221212e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,cis-aconitic acid,Organic acids,0.5705165889209267,0.022676069834993214,2.2901787502926164e-9,1.6869033172515004e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,cis-aconitic acid,Organic acids,0.5639356092875222,0.020328866686213063,2.0095086252711515e-9,1.5301769273050451e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,cis-aconitic acid,Organic acids,0.5697105934164942,0.022135782653906515,2.2312492567242057e-9,1.643997919189646e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,cis-aconitic acid,Organic acids,0.40002920143408927,0.023340198883799346,2.2871392810657777e-9,3.4033214648038767e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,cis-aconitic acid,Organic acids,0.5797520078503551,0.03181858874348015,3.380448674546842e-9,2.3261808735209177e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,cis-aconitic acid,Organic acids,NaN,0.009419691202940767,NaN,8.223850718849435e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,cis-aconitic acid,Organic acids,NaN,0.005488038906245658,NaN,3.588907363656543e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,cis-aconitic acid,Organic acids,0.5212562773551821,0.036301364458315055,4.2316477715748826e-9,3.1291222494544623e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,cis-aconitic acid,Organic acids,0.28404278661935917,0.009880179995670847,1.092523727953704e-10,4.602294687151063e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,cis-aconitic acid,Organic acids,0.454177881896839,0.0390826312081329,4.633715553841184e-9,4.615843987278062e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,cis-aconitic acid,Organic acids,0.3991627646388487,0.015752442554610502,1.4375579167772762e-9,2.154557145905119e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,cis-aconitic acid,Organic acids,0.3477718955816385,0.006454587957243088,4.105509454118526e-10,7.706594122995778e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,cis-aconitic acid,Organic acids,0.40345376609316036,0.017810971439300508,1.6517460001214681e-9,2.4318703069589025e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,cis-aconitic acid,Organic acids,0.46339247356787183,0.01934862353685004,1.84647770019929e-9,2.106105769140113e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,cis-aconitic acid,Organic acids,0.5020620452305204,0.021133087420588982,2.190068378487289e-9,2.025042934197964e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,cis-aconitic acid,Organic acids,0.4176866377886951,0.005530129880966413,2.790620103289467e-10,3.9792314617368363e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,cis-aconitic acid,Organic acids,0.39265476569547497,0.005705484150189936,3.2414184831100834e-10,5.070776044679029e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,cis-aconitic acid,Organic acids,0.2955756859035266,0.005327336451809704,1.5127721091727053e-10,4.135167851064484e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,cis-aconitic acid,Organic acids,NaN,0.006333470623516672,NaN,2.9336244419241255e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,cis-aconitic acid,Organic acids,0.4449853837149385,0.01518776203120932,1.330245691085846e-9,1.6579881152788324e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,cis-aconitic acid,Organic acids,NaN,0.008114363566959663,NaN,8.506712317870361e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,cis-aconitic acid,Organic acids,0.3756463055404331,0.009524855638671267,7.62617012256649e-10,1.2675480769208923e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,cis-aconitic acid,Organic acids,0.39855989899228034,0.009726107697070201,7.792095864690473e-10,1.1758610956458694e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,cis-aconitic acid,Organic acids,0.316322473649635,0.00776432704331568,5.788986952213851e-10,1.2513177593308904e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,cis-aconitic acid,Organic acids,NaN,0.005968135651750111,NaN,3.654291715914946e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,cis-aconitic acid,Organic acids,0.2640316042093926,0.01626624776177606,1.4157753452640928e-9,3.943633289337095e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,cis-aconitic acid,Organic acids,0.46034032603408387,0.07707124974329355,9.0397310369589e-9,9.35402475332874e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,cis-aconitic acid,Organic acids,0.5697844176416089,0.02715402253668624,2.8736052348883636e-9,2.066350472767329e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,cis-aconitic acid,Organic acids,0.32810017073916936,0.006573794143351451,4.5001520012488166e-10,9.22172798578687e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,cis-aconitic acid,Organic acids,NaN,0.013661549745946739,NaN,5.161414513103159e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,cis-aconitic acid,Organic acids,NaN,0.008542473649541426,NaN,3.3652151867151727e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,cis-aconitic acid,Organic acids,0.5363337099469927,0.01098224658977162,9.37508246977706e-10,8.104872372214725e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,cis-aconitic acid,Organic acids,0.5760102968552607,0.021996877376794927,2.3119795454359917e-9,1.5445860026608021e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,cis-aconitic acid,Organic acids,0.3998740355898275,0.08020217152378338,1.1857743073887392e-8,8.432472194914769e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,cis-aconitic acid,Organic acids,0.20181237371270988,0.005119552743449053,2.384203175458493e-10,9.721437597926605e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,cis-aconitic acid,Organic acids,0.3948991341385613,0.02727084085725184,2.9104480646048417e-9,4.2177438063966955e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,cytidine,Nucleotides,NaN,0.01191315993185503,NaN,4.3034340543392494e-10
